,Number ,,,,,,,Cicrularity ,,Alignment,Cell
15,Trial1_4-0002.tif,119.144,263.892,148,1186,0.946,1.077,0.928,0.977,RM,MDA-MB-231
16,Trial1_6-0002.tif,141.843,331.89,149,1460,0.899,1.446,0.692,0.977,RM,MDA-MB-231
17,Trial1_6-0002.tif,101.437,303.269,148,3442,0.858,1.044,0.958,0.968,RM,MDA-MB-231
18,Trial1_6-0002.tif,122.801,258.514,148,2718,0.838,1.406,0.711,0.966,RM,MDA-MB-231
19,Trial1_6-0002.tif,96.016,269.575,147,1340,0.923,1.265,0.791,0.977,RM,MDA-MB-231
20,Trial1_6-0002.tif,122.563,273.507,146,1136,0.93,1.307,0.765,0.978,RM,MDA-MB-231
21,Trial1_7-0002.tif,140.454,300.752,147,2293,0.843,1.393,0.718,0.975,RM,MDA-MB-231
22,Trial1_7-0002.tif,92.633,294.37,148,1207,0.96,1.037,0.964,0.979,RM,MDA-MB-231
23,Trial1_7-0002.tif,55.957,314.73,149,1064,0.766,1.75,0.571,0.911,RM,MDA-MB-231
24,Trial1_7-0002.tif,154.541,296.171,147,2293,0.953,1.175,0.851,0.985,RM,MDA-MB-231
25,Trial1_8-0002.tif,177.176,382.887,148,2325,0.916,1.302,0.768,0.984,RM,MDA-MB-231
26,Trial1_8-0002.tif,67.621,365.917,148,1240,0.911,1.396,0.716,0.972,RM,MDA-MB-231
27,Trial1_8-0002.tif,149.833,339.628,148,1596,0.887,1.509,0.663,0.973,RM,MDA-MB-231
28,Trial1_8-0002.tif,101.912,329.459,148,3084,0.918,1.108,0.903,0.978,RM,MDA-MB-231
29,Trial1_8-0002.tif,135.499,265.2,147,1604,0.894,1.412,0.708,0.981,RM,MDA-MB-231
30,Trial1_9-0002.tif,127.061,258.047,148,1297,0.945,1.167,0.857,0.98,RM,MDA-MB-231
31,Trial1_9-0002.tif,124.785,316.172,148,1859,0.902,1.23,0.813,0.98,RM,MDA-MB-231
32,Trial1_9-0002.tif,137.684,345.186,148,1701,0.89,1.598,0.626,0.982,RM,MDA-MB-231
33,Trial1_9-0002.tif,86.38,311.415,148,1164,0.93,1.214,0.824,0.981,RM,MDA-MB-231
34,Trial1_9-0002.tif,74.414,234.587,147,1082,0.921,1.353,0.739,0.98,RM,MDA-MB-231
35,Trial1_10-0002.tif,111.822,312.967,148,1304,0.936,1.277,0.783,0.982,RM,MDA-MB-231
36,Trial1_10-0002.tif,111.986,312.389,147,1251,0.868,1.558,0.642,0.977,RM,MDA-MB-231
37,Trial1_10-0002.tif,97.533,302.659,148,1237,0.819,1.753,0.57,0.966,RM,MDA-MB-231
38,Trial1_10-0002.tif,79.186,373.29,148,1764,0.793,1.458,0.686,0.953,RM,MDA-MB-231
39,Trial1_10-0002.tif,78.71,340.292,149,1943,0.711,2.26,0.442,0.958,RM,MDA-MB-231
40,Trial1_11-0002.tif,120.049,323.396,147,1325,0.867,1.604,0.624,0.973,RM,MDA-MB-231
41,Trial1_11-0002.tif,81.8,307.566,148,1545,0.832,1.367,0.732,0.958,RM,MDA-MB-231
42,Trial1_11-0002.tif,169.378,349.172,148,1639,0.845,1.69,0.592,0.974,RM,MDA-MB-231
43,Trial1_11-0002.tif,173.812,310.152,147,1889,0.835,1.484,0.674,0.979,RM,MDA-MB-231
44,Trial1_11-0002.tif,136.769,321.573,146,1482,0.908,1.18,0.847,0.973,RM,MDA-MB-231
45,Trial1_11-0002.tif,66.415,357.082,148,1256,0.863,1.694,0.59,0.981,RM,MDA-MB-231
46,Trial2_12-0002.tif,159.267,543.468,149,3114,0.825,1.865,0.536,0.974,RM,MDA-MB-231
47,Trial2_12-0002.tif,59.677,412.205,149,1444,0.846,1.614,0.62,0.971,RM,MDA-MB-231
48,Trial2_12-0002.tif,108.156,417.131,148,2222,0.749,1.583,0.632,0.972,RM,MDA-MB-231
49,Trial2_13-0002.tif,154.733,401.066,148,1989,0.884,1.092,0.915,0.971,RM,MDA-MB-231
50,Trial2_13-0002.tif,78.281,299.273,148,1488,0.913,1.233,0.811,0.978,RM,MDA-MB-231
51,Trial2_14-0002.tif,125.479,372.885,149,1918,0.951,1.021,0.979,0.987,RM,MDA-MB-231
52,Trial2_14-0002.tif,115.268,360.999,149,1748,0.903,1.236,0.809,0.976,RM,MDA-MB-231
53,Trial2_14-0002.tif,69.834,426.511,149,1865,0.925,1.229,0.814,0.977,RM,MDA-MB-231
54,Trial2_15-0002.tif,127.189,308.619,149,1809,0.939,1.116,0.896,0.978,RM,MDA-MB-231
55,Trial2_15-0002.tif,129.63,311.627,148,1463,0.933,1.242,0.805,0.986,RM,MDA-MB-231
56,Trial2_15-0002.tif,161.077,386.329,148,3533,0.918,1.255,0.797,0.978,RM,MDA-MB-231
57,Trial2_15-0002.tif,119.025,360.793,148,1435,0.908,1.399,0.715,0.976,RM,MDA-MB-231
58,Trial2_16-0002.tif,100.047,280.531,148,1063,0.859,1.585,0.631,0.971,RM,MDA-MB-231
59,Trial2_16-0002.tif,84.424,303.303,148,1145,0.936,1.294,0.773,0.983,RM,MDA-MB-231
60,Trial2_17-0002.tif,68.801,387.522,149,1649,0.899,1.258,0.795,0.969,RM,MDA-MB-231
61,Trial2_17-0002.tif,94.388,382.866,148,1503,0.953,1.105,0.905,0.979,RM,MDA-MB-231
62,Trial2_17-0002.tif,78.692,356.24,148,2472,0.928,1.165,0.859,0.97,RM,MDA-MB-231
63,Trial2_18-0002.tif,170.521,320.109,148,2468,0.906,1.336,0.748,0.98,RM,MDA-MB-231
64,Trial2_18-0002.tif,148.279,323.042,148,2363,0.888,1.445,0.692,0.974,RM,MDA-MB-231
65,Trial2_18-0002.tif,158.801,352.234,148,1323,0.939,1.174,0.852,0.98,RM,MDA-MB-231
66,Trial2_20-0002.tif,96.29,323.032,148,1405,0.894,1.287,0.777,0.978,RM,MDA-MB-231
67,Trial2_20-0002.tif,70.464,320.346,149,2035,0.929,1.315,0.761,0.976,RM,MDA-MB-231
68,Trial2_21-0002.tif,94.004,431.347,149,1454,0.94,1.057,0.946,0.977,RM,MDA-MB-231
69,Trial2_21-0002.tif,66.579,362.935,149,1490,0.902,1.329,0.753,0.969,RM,MDA-MB-231
70,Trial2_21-0002.tif,73.527,494.457,150,2387,0.918,1.298,0.77,0.972,RM,MDA-MB-231
71,Trial2_22-0002.tif,89.799,355.317,149,1464,0.925,1.284,0.779,0.977,RM,MDA-MB-231
72,Trial2_22-0002.tif,99.846,360.044,148,1576,0.92,1.28,0.781,0.977,RM,MDA-MB-231
73,Trial2_22-0002.tif,152.566,368.676,148,1481,0.713,2.277,0.439,0.976,RM,MDA-MB-231
1,Trial2_21-0002.tif,164.524,327.866,148,1400,0.761,2.119,0.472,0.966,AM,MDA-MB-231
2,Trial2_21-0002.tif,106.355,291.705,148,1388,0.792,1.992,0.502,0.967,AM,MDA-MB-231
3,Trial2_21-0002.tif,90.512,317.097,149,1339,0.656,2.816,0.355,0.97,AM,MDA-MB-231
4,Trial2_20-0002.tif,90.75,419.296,148,1619,0.768,2.091,0.478,0.971,AM,MDA-MB-231
5,Trial2_20-0002.tif,100.285,341.395,148,2781,0.756,1.733,0.577,0.954,AM,MDA-MB-231
6,Trial2_19-0002.tif,123.221,301.659,148,2034,0.577,2.998,0.334,0.948,AM,MDA-MB-231
7,Trial2_19-0002.tif,78.683,260.906,149,970,0.586,3.227,0.31,0.954,AM,MDA-MB-231
8,Trial2_18-0002.tif,109.39,316.306,149,1497,0.76,2.137,0.468,0.975,AM,MDA-MB-231
9,Trial2_18-0002.tif,106.73,337.27,148,1463,0.587,3.306,0.302,0.966,AM,MDA-MB-231
10,Trial2_18-0002.tif,82.504,367.501,149,1536,0.591,3.221,0.31,0.937,AM,MDA-MB-231
11,Trial2_18-0002.tif,144.485,268.925,148,1914,0.801,1.464,0.683,0.976,AM,MDA-MB-231
12,Trial2_17-0002.tif,150.043,324.32,148,1687,0.794,2.027,0.493,0.978,AM,MDA-MB-231
13,Trial2_17-0002.tif,78.527,296.831,148,2306,0.779,2.057,0.486,0.967,AM,MDA-MB-231
14,Trial2_17-0002.tif,81.691,323.383,148,1248,0.787,1.851,0.54,0.97,AM,MDA-MB-231
15,Trial2_17-0002.tif,95.485,288.369,148,2306,0.785,1.866,0.536,0.975,AM,MDA-MB-231
16,Trial2_16-0002.tif,147.456,275.215,148,1356,0.756,2.162,0.463,0.974,AM,MDA-MB-231
17,Trial2_16-0002.tif,68.27,356.327,149,1303,0.627,2.895,0.345,0.967,AM,MDA-MB-231
18,Trial2_16-0002.tif,97.25,351.044,148,1411,0.738,2.103,0.476,0.966,AM,MDA-MB-231
19,Trial2_16-0002.tif,99.718,346.024,148,1321,0.609,3.064,0.326,0.956,AM,MDA-MB-231
20,Trial2_16-0002.tif,77.348,311.477,149,1227,0.545,3.097,0.323,0.939,AM,MDA-MB-231
21,Trial2_15-0002.tif,152.393,267.701,148,1210,0.691,2.224,0.45,0.97,AM,MDA-MB-231
22,Trial2_15-0002.tif,91.554,301.053,149,2384,0.739,2.16,0.463,0.965,AM,MDA-MB-231
23,Trial2_15-0002.tif,119.3,307.274,149,2774,0.742,1.999,0.5,0.97,AM,MDA-MB-231
24,Trial2_15-0002.tif,112.334,324.101,148,1928,0.811,1.796,0.557,0.973,AM,MDA-MB-231
25,Trial2_14-0002.tif,191.519,359.967,149,1575,0.691,2.58,0.388,0.977,AM,MDA-MB-231
26,Trial2_14-0002.tif,89.196,323.315,148,1661,0.73,2.422,0.413,0.972,AM,MDA-MB-231
27,Trial2_14-0002.tif,83.784,343.077,148,1683,0.591,3.33,0.3,0.971,AM,MDA-MB-231
28,Trial2_14-0002.tif,79.478,339.478,149,1316,0.75,2.1,0.476,0.976,AM,MDA-MB-231
29,Trial2_14-0002.tif,90.695,303.339,148,1869,0.753,2.104,0.475,0.975,AM,MDA-MB-231
30,Trial2_13-0002.tif,99.261,315.119,148,1301,0.728,2.124,0.471,0.972,AM,MDA-MB-231
31,Trial2_13-0002.tif,82.321,403.678,149,1386,0.796,1.942,0.515,0.968,AM,MDA-MB-231
32,Trial2_13-0002.tif,96.381,350.208,148,1639,0.893,1.496,0.669,0.975,AM,MDA-MB-231
33,Trial2_13-0002.tif,106.145,338.034,147,2085,0.821,1.703,0.587,0.973,AM,MDA-MB-231
34,Trial2_13-0002.tif,142.885,402.362,149,1679,0.949,1.21,0.827,0.983,AM,MDA-MB-231
35,Trial2_12-0002.tif,126.549,381.545,148,2085,0.698,2.064,0.484,0.947,AM,MDA-MB-231
36,Trial2_12-0002.tif,141.889,423.268,149,1632,0.885,1.123,0.891,0.969,AM,MDA-MB-231
37,Trial2_12-0002.tif,100.596,306.062,149,1183,0.724,2.234,0.448,0.968,AM,MDA-MB-231
38,Trial2_12-0002.tif,120.781,356.262,149,1780,0.785,1.851,0.54,0.97,AM,MDA-MB-231
39,Trial2_12-0002.tif,118.705,364.548,149,3493,0.791,1.838,0.544,0.975,AM,MDA-MB-231
40,Trial2_12-0002.tif,105.368,335.692,149,2153,0.715,2.384,0.419,0.973,AM,MDA-MB-231
41,Trial1_11-0002.tif,99.691,388.529,149,1607,0.754,2.035,0.491,0.97,AM,MDA-MB-231
42,Trial1_11-0002.tif,121.695,378.103,148,1519,0.824,1.721,0.581,0.97,AM,MDA-MB-231
43,Trial1_11-0002.tif,88.784,319.075,148,2117,0.713,2.596,0.385,0.98,AM,MDA-MB-231
44,Trial1_10-0002.tif,152.63,403.735,148,2212,0.851,1.396,0.716,0.974,AM,MDA-MB-231
45,Trial1_8-0002.tif,84.497,497.204,149,1556,0.724,2.352,0.425,0.969,AM,MDA-MB-231
46,Trial1_8-0002.tif,92.624,510.116,150,1880,0.771,2.163,0.462,0.98,AM,MDA-MB-231
47,Trial1_8-0002.tif,75.383,387.703,149,1625,0.796,2.012,0.497,0.968,AM,MDA-MB-231
48,Trial1_7-0002.tif,128.606,367.396,149,1972,0.847,1.757,0.569,0.974,AM,MDA-MB-231
49,Trial1_7-0002.tif,137.638,334.909,149,1344,0.741,1.883,0.531,0.978,AM,MDA-MB-231
50,Trial1_7-0002.tif,103.576,385.408,149,1566,0.856,1.66,0.602,0.981,AM,MDA-MB-231
51,Trial1_7-0002.tif,150.519,361.664,149,2500,0.809,1.669,0.599,0.98,AM,MDA-MB-231
52,Trial1_6-0002.tif,132.482,325.634,148,1742,0.815,1.89,0.529,0.977,AM,MDA-MB-231
53,Trial1_6-0002.tif,103.75,323.217,148,1118,0.778,1.98,0.505,0.975,AM,MDA-MB-231
54,Trial1_6-0002.tif,116.959,457.58,149,1773,0.802,1.286,0.777,0.968,AM,MDA-MB-231
55,Trial1_6-0002.tif,90.905,350.45,148,3145,0.671,2.305,0.434,0.956,AM,MDA-MB-231
56,Trial1_5-0002.tif,106.794,356.394,148,1647,0.82,1.614,0.62,0.974,AM,MDA-MB-231
57,Trial1_5-0002.tif,92.889,358.062,148,1322,0.832,1.801,0.555,0.973,AM,MDA-MB-231
58,Trial1_5-0002.tif,101.016,370.105,149,1617,0.752,2.002,0.499,0.967,AM,MDA-MB-231
59,Trial1_5-0002.tif,66.753,395.345,148,2087,0.824,1.722,0.581,0.974,AM,MDA-MB-231
60,Trial1_4-0002.tif,106.839,392.798,148,1604,0.847,1.187,0.843,0.969,AM,MDA-MB-231
61,Trial1_4-0002.tif,94.781,406.018,149,1522,0.938,1.182,0.846,0.979,AM,MDA-MB-231
62,Trial1_4-0002.tif,88.346,295.703,148,1081,0.893,1.136,0.88,0.975,AM,MDA-MB-231
63,Trial1_3-0002.tif,115.917,490.352,149,2060,0.893,1.371,0.729,0.978,AM,MDA-MB-231
64,Trial1_3-0002.tif,107.781,347.956,149,1613,0.916,1.394,0.718,0.979,AM,MDA-MB-231
65,Trial1_3-0002.tif,103.018,459.908,149,2129,0.951,1.195,0.837,0.981,AM,MDA-MB-231
66,Trial1_3-0002.tif,95.449,392.978,150,1603,0.664,2.325,0.43,0.962,AM,MDA-MB-231
67,Trial1_2-0002.tif,104.463,452.488,149,2226,0.864,1.486,0.673,0.97,AM,MDA-MB-231
68,Trial1_2-0002.tif,93.968,457.77,149,1678,0.931,1.127,0.888,0.98,AM,MDA-MB-231
69,Trial1_1-0002.tif,70.519,328.132,147,1136,0.723,2.249,0.445,0.978,AM,MDA-MB-231
70,Trial1_1-0002.tif,99.563,367.421,149,1431,0.775,1.81,0.553,0.963,AM,MDA-MB-231
71,Trial1_1-0002.tif,117.791,361.018,149,1468,0.67,2.541,0.393,0.977,AM,MDA-MB-231
72,Trial1_1-0002.tif,89.616,320.506,147,1385,0.814,1.924,0.52,0.977,AM,MDA-MB-231
1,Trial2_10-0002.tif,138.799,334.24,151,933,0.774,2.046,0.489,0.976,AM,MCF-10A
2,Trial2_10-0002.tif,69.066,348.469,158,921,0.768,2.074,0.482,0.963,AM,MCF-10A
3,Trial2_10-0002.tif,80.246,323.825,152,747,0.724,2.315,0.432,0.969,AM,MCF-10A
4,Trial2_10-0002.tif,155.464,324.937,151,730,0.877,1.393,0.718,0.978,AM,MCF-10A
5,Trial2_9-0002.tif,74.624,369.943,152,841,0.773,2.049,0.488,0.966,AM,MCF-10A
6,Trial2_9-0002.tif,93.529,378.244,152,895,0.702,2.401,0.416,0.97,AM,MCF-10A
7,Trial2_9-0002.tif,67.777,312.119,150,742,0.759,2.108,0.474,0.971,AM,MCF-10A
8,Trial2_9-0002.tif,69.468,392.433,154,1012,0.709,2.321,0.431,0.956,AM,MCF-10A
9,Trial2_7-0002.tif,58.982,401.139,160,896,0.772,1.676,0.597,0.966,AM,MCF-10A
10,Trial2_7-0002.tif,120.698,483.287,177,1221,0.749,1.969,0.508,0.974,AM,MCF-10A
11,Trial2_7-0002.tif,78.509,544.541,212,1154,0.765,2.142,0.467,0.974,AM,MCF-10A
12,Trial2_7-0002.tif,70.611,512.838,192,1114,0.836,1.617,0.618,0.97,AM,MCF-10A
13,Trial2_7-0002.tif,87.642,556.819,226,1205,0.874,1.66,0.603,0.985,AM,MCF-10A
14,Trial2_7-0002.tif,47.628,538.423,179,1086,0.548,3.791,0.264,0.922,AM,MCF-10A
15,Trial2_5_0001-0002.tif,78.628,457.249,167,999,0.814,1.861,0.537,0.974,AM,MCF-10A
16,Trial2_5_0001-0002.tif,53.013,440.802,152,1182,0.708,2.248,0.445,0.944,AM,MCF-10A
17,Trial2_5_0001-0002.tif,71.05,522.968,176,1248,0.642,2.66,0.376,0.95,AM,MCF-10A
18,Trial2_5_0001-0002.tif,51.002,414.508,152,923,0.663,2.482,0.403,0.938,AM,MCF-10A
19,Trial2_4-0002.tif,66.835,572.86,189,1252,0.814,1.664,0.601,0.962,AM,MCF-10A
20,Trial2_4-0002.tif,78.994,515.605,184,1138,0.884,1.08,0.926,0.977,AM,MCF-10A
21,Trial2_3-0002.tif,59.714,431.43,182,957,0.802,1.976,0.506,0.964,AM,MCF-10A
22,Trial2_3-0002.tif,88.848,441.636,164,938,0.794,1.942,0.515,0.974,AM,MCF-10A
23,Trial2_2-0002.tif,59.476,518.903,199,1158,0.897,1.194,0.837,0.974,AM,MCF-10A
24,Trial2_2-0002.tif,64.861,559.184,208,1186,0.786,1.993,0.502,0.966,AM,MCF-10A
25,Trial2_2-0002.tif,102.79,521.19,207,1154,0.861,1.571,0.637,0.981,AM,MCF-10A
26,Trial2_2-0002.tif,73.582,434.195,164,960,0.805,1.902,0.526,0.975,AM,MCF-10A
27,Trial1_13-0002.tif,147.383,273.454,150,683,0.761,2.007,0.498,0.978,AM,MCF-10A
28,Trial1_13-0002.tif,166.745,282.248,150,716,0.682,2.173,0.46,0.964,AM,MCF-10A
29,Trial1_13-0002.tif,123.953,257.049,150,606,0.812,1.6,0.625,0.978,AM,MCF-10A
30,Trial1_13-0002.tif,117.115,280.939,150,780,0.837,1.548,0.646,0.972,AM,MCF-10A
31,Trial1_12-0002.tif,179.717,253.903,150,792,0.934,1.272,0.786,0.982,AM,MCF-10A
32,Trial1_12-0002.tif,219.548,308.612,150,912,0.94,1.274,0.785,0.985,AM,MCF-10A
33,Trial1_12-0002.tif,197.516,250.644,149,576,0.896,1.409,0.71,0.983,AM,MCF-10A
34,Trial1_12-0002.tif,95.22,265.637,150,557,0.818,1.679,0.595,0.969,AM,MCF-10A
35,Trial1_12-0002.tif,118.998,255.001,150,602,0.875,1.318,0.759,0.975,AM,MCF-10A
36,Trial1_12-0002.tif,89.205,275.167,151,667,0.72,1.778,0.563,0.965,AM,MCF-10A
37,Trial1_11-0002.tif,218.917,280.761,150,1101,0.904,1.424,0.702,0.979,AM,MCF-10A
38,Trial1_11-0002.tif,120.653,221.429,149,585,0.753,1.894,0.528,0.977,AM,MCF-10A
39,Trial1_10-0002.tif,56.496,322.656,152,899,0.821,1.798,0.556,0.97,AM,MCF-10A
40,Trial1_10-0002.tif,64.797,299.086,152,705,0.898,1.397,0.716,0.979,AM,MCF-10A
41,Trial1_10-0002.tif,79.551,275.656,150,819,0.761,1.758,0.569,0.97,AM,MCF-10A
42,Trial1_10-0002.tif,70.976,310.177,151,639,0.719,2.177,0.459,0.96,AM,MCF-10A
43,Trial1_10-0002.tif,68.773,276.001,151,605,0.768,2.092,0.478,0.966,AM,MCF-10A
44,Trial1_9-0002.tif,82.413,351.258,151,782,0.743,1.78,0.562,0.969,AM,MCF-10A
45,Trial1_9-0002.tif,146.268,279.526,150,719,0.747,2.035,0.491,0.973,AM,MCF-10A
46,Trial1_9-0002.tif,97.067,227.858,149,729,0.915,1.342,0.745,0.977,AM,MCF-10A
47,Trial1_8-0002.tif,157.247,288.006,150,839,0.896,1.314,0.761,0.978,AM,MCF-10A
48,Trial1_8-0002.tif,106.666,300.218,150,707,0.691,1.668,0.6,0.903,AM,MCF-10A
49,Trial1_8-0002.tif,212.271,278.743,151,805,0.909,1.308,0.764,0.981,AM,MCF-10A
50,Trial1_8-0002.tif,85.174,288.636,150,718,0.887,1.437,0.696,0.975,AM,MCF-10A
51,Trial1_8-0002.tif,72.677,259.067,150,565,0.823,1.682,0.595,0.97,AM,MCF-10A
52,Trial1_7-0002.tif,157.32,293.365,151,674,0.778,1.556,0.643,0.972,AM,MCF-10A
53,Trial1_7-0002.tif,252.696,309.647,150,743,0.859,1.116,0.896,0.961,AM,MCF-10A
54,Trial1_7-0002.tif,82.861,259.282,149,686,0.816,1.995,0.501,0.976,AM,MCF-10A
55,Trial1_7-0002.tif,96.985,263.811,149,589,0.938,1.063,0.94,0.978,AM,MCF-10A
56,Trial1_7-0002.tif,124.364,243.429,149,758,0.838,1.54,0.649,0.977,AM,MCF-10A
57,Trial1_5-0002.tif,90.064,260.443,149,657,0.793,1.713,0.584,0.982,AM,MCF-10A
58,Trial1_5-0002.tif,96.71,339.631,152,790,0.848,1.463,0.684,0.978,AM,MCF-10A
59,Trial1_5-0002.tif,107.123,355.545,155,754,0.778,1.79,0.559,0.972,AM,MCF-10A
60,Trial1_5-0002.tif,70.611,360.809,153,777,0.799,1.257,0.796,0.962,AM,MCF-10A
61,Trial1_4-0002.tif,66.186,337.188,151,703,0.838,1.771,0.565,0.973,AM,MCF-10A
62,Trial1_4-0002.tif,63.718,323.675,151,757,0.818,1.293,0.773,0.961,AM,MCF-10A
63,Trial1_4-0002.tif,104.929,330.968,151,754,0.546,2.741,0.365,0.935,AM,MCF-10A
64,Trial1_3-0002.tif,145.125,255.538,149,842,0.686,2.204,0.454,0.982,AM,MCF-10A
65,Trial1_3-0002.tif,141.304,284.925,150,689,0.9,1.36,0.735,0.981,AM,MCF-10A
66,Trial1_3-0002.tif,141.669,286.865,150,637,0.649,2.571,0.389,0.931,AM,MCF-10A
67,Trial1_3-0002.tif,79.021,290.239,150,766,0.772,2.095,0.477,0.969,AM,MCF-10A
1,Trial1_10-0002.tif,118.093,260.764,151,570,0.929,1.214,0.823,0.982,RM,MCF-10A
2,Trial1_10-0002.tif,120.589,223.71,150,505,0.924,1.206,0.829,0.977,RM,MCF-10A
3,Trial1_10-0002.tif,102.589,252.646,150,576,0.829,1.836,0.545,0.98,RM,MCF-10A
4,Trial1_10-0002.tif,168.126,232.658,150,576,0.879,1.123,0.891,0.969,RM,MCF-10A
5,Trial1_10-0002.tif,155.007,228.905,150,1213,0.924,1.213,0.824,0.982,RM,MCF-10A
6,Trial1_9-0002.tif,107.726,263.621,151,619,0.942,1.115,0.897,0.974,RM,MCF-10A
7,Trial1_9-0002.tif,65.802,242.946,150,584,0.86,1.542,0.649,0.978,RM,MCF-10A
8,Trial1_9-0002.tif,104.627,265.805,151,619,0.917,1.133,0.882,0.976,RM,MCF-10A
9,Trial1_9-0002.tif,76.123,247.483,151,994,0.86,1.563,0.64,0.966,RM,MCF-10A
10,Trial1_8-0002.tif,125.205,257.325,150,688,0.903,1.305,0.766,0.975,RM,MCF-10A
11,Trial1_8-0002.tif,69.77,266.495,151,705,0.826,1.733,0.577,0.965,RM,MCF-10A
12,Trial1_8-0002.tif,132.171,240.992,150,620,0.817,1.916,0.522,0.981,RM,MCF-10A
13,Trial1_8-0002.tif,74.98,264.847,151,705,0.844,1.648,0.607,0.966,RM,MCF-10A
14,Trial1_7-0002.tif,79.25,367.093,153,741,0.872,1.453,0.688,0.973,RM,MCF-10A
15,Trial1_7-0002.tif,80.456,370.42,153,854,0.826,1.485,0.673,0.969,RM,MCF-10A
16,Trial1_7-0002.tif,51.596,281.501,152,602,0.897,1.293,0.774,0.971,RM,MCF-10A
17,Trial1_6-0002.tif,151.597,244.221,150,623,0.951,1.04,0.962,0.983,RM,MCF-10A
18,Trial1_6-0002.tif,167.943,302.495,151,721,0.959,1.079,0.926,0.983,RM,MCF-10A
19,Trial1_6-0002.tif,88.465,264.731,151,589,0.919,1.336,0.748,0.976,RM,MCF-10A
20,Trial1_6-0002.tif,110.597,340.85,152,808,0.893,1.112,0.899,0.976,RM,MCF-10A
21,Trial1_3-0002.tif,68.298,300.046,151,814,0.9,1.392,0.718,0.971,RM,MCF-10A
22,Trial1_3-0002.tif,124.017,305.599,152,671,0.845,1.281,0.781,0.969,RM,MCF-10A
23,Trial1_3-0002.tif,105.889,275.754,151,642,0.858,1.561,0.641,0.973,RM,MCF-10A
24,Trial1_3-0002.tif,116.42,323.574,150,770,0.925,1.211,0.826,0.983,RM,MCF-10A
25,Trial1_2-0002.tif,78.281,299.332,151,702,0.828,1.66,0.603,0.969,RM,MCF-10A
26,Trial1_2-0002.tif,104.344,295.018,151,708,0.948,1.115,0.896,0.982,RM,MCF-10A
27,Trial1_2-0002.tif,62.996,284.675,152,663,0.936,1.179,0.849,0.976,RM,MCF-10A
28,Trial1_2-0002.tif,120.223,256.429,151,610,0.882,1.134,0.881,0.973,RM,MCF-10A
29,Trial1_2-0002.tif,105.953,270.49,150,651,0.921,1.163,0.86,0.981,RM,MCF-10A
30,Trial1_1-0002.tif,120.131,261.755,151,585,0.906,1.182,0.846,0.98,RM,MCF-10A
31,Trial1_1-0002.tif,115.487,245.657,149,524,0.907,1.22,0.82,0.983,RM,MCF-10A
32,Trial1_1-0002.tif,99.91,252.379,150,769,0.89,1.385,0.722,0.968,RM,MCF-10A
33,Trial1_1-0002.tif,102.707,247.323,151,654,0.919,1.215,0.823,0.976,RM,MCF-10A
34,Trial1_1-0002.tif,115.771,256.745,150,614,0.855,1.577,0.634,0.98,RM,MCF-10A
1,Trial2_13-0002.tif,259.835,348.933,153,870,0.766,2.162,0.463,0.979,AM,MCF-10A
2,Trial2_12-0002.tif,62.996,423.788,154,1048,0.945,1.108,0.903,0.977,AM,MCF-10A
3,Trial2_12-0002.tif,163.957,440.256,157,1229,0.732,2.207,0.453,0.957,AM,MCF-10A
4,Trial2_12-0002.tif,86.517,397.108,154,1068,0.806,1.412,0.708,0.987,AM,MCF-10A
5,Trial2_12-0002.tif,143.854,355.983,150,906,0.717,2.17,0.461,0.949,AM,MCF-10A
6,Trial2_10-0002.tif,64.477,345.029,153,740,0.839,1.229,0.814,0.97,AM,MCF-10A
7,Trial2_10-0002.tif,88.693,382.323,164,815,0.835,1.585,0.631,0.973,AM,MCF-10A
