,Number ,,,,,,,Cicrularity ,,Alignment,Cell
8,Trial2_10-0002.tif,90,374.653,155,852,0.822,1.307,0.765,0.978,AM,MCF-10A
9,Trial2_10-0002.tif,176.298,420.638,158,946,0.769,2.176,0.459,0.973,AM,MCF-10A
10,Trial2_9-0002.tif,137.839,356.242,151,841,0.943,1.303,0.768,0.985,AM,MCF-10A
11,Trial2_9-0002.tif,129.365,422.347,156,939,0.776,2.121,0.472,0.969,AM,MCF-10A
12,Trial2_9-0002.tif,86.115,400.882,160,884,0.701,2.305,0.434,0.971,AM,MCF-10A
13,Trial2_9-0002.tif,58.123,355.701,153,737,0.831,1.611,0.621,0.964,AM,MCF-10A
14,Trial2_8-0002.tif,109.225,317.658,152,706,0.829,1.541,0.649,0.976,AM,MCF-10A
15,Trial2_8-0002.tif,70.748,283.867,151,666,0.93,1.186,0.843,0.978,AM,MCF-10A
16,Trial2_8-0002.tif,121.356,357.016,152,876,0.758,2.09,0.478,0.978,AM,MCF-10A
17,Trial2_7-0002.tif,131.805,396.428,154,962,0.84,1.452,0.689,0.962,AM,MCF-10A
18,Trial2_7-0002.tif,184.745,395.773,152,997,0.825,1.772,0.564,0.984,AM,MCF-10A
19,Trial2_7-0002.tif,89.15,364.45,152,845,0.866,1.538,0.65,0.978,AM,MCF-10A
20,Trial2_7-0002.tif,72.329,292.148,151,1177,0.751,2.305,0.434,0.968,AM,MCF-10A
21,Trial2_7-0002.tif,104.344,282.063,151,715,0.725,2.032,0.492,0.964,AM,MCF-10A
22,Trial2_7-0002.tif,72.311,334.306,152,814,0.769,1.617,0.618,0.963,AM,MCF-10A
23,Trial2_6-0002.tif,111.831,278.859,151,892,0.925,1.243,0.805,0.979,AM,MCF-10A
24,Trial2_6-0002.tif,162.86,265.739,152,626,0.87,1.336,0.748,0.963,AM,MCF-10A
25,Trial2_6-0002.tif,86.472,284.298,151,691,0.817,1.62,0.617,0.961,AM,MCF-10A
26,Trial2_5-0002.tif,137.501,324.74,152,1194,0.907,1.452,0.689,0.982,AM,MCF-10A
27,Trial2_5-0002.tif,162.924,314.52,151,897,0.919,1.133,0.882,0.984,AM,MCF-10A
28,Trial2_5-0002.tif,115.743,309.49,152,825,0.795,1.683,0.594,0.965,AM,MCF-10A
29,Trial2_5-0002.tif,118.175,329.638,152,731,0.825,1.751,0.571,0.973,AM,MCF-10A
30,Trial2_3-0002.tif,93.218,322.91,151,899,0.821,1.641,0.61,0.967,AM,MCF-10A
31,Trial2_3-0002.tif,76.215,305.593,152,647,0.787,1.593,0.628,0.959,AM,MCF-10A
32,Trial2_2-0002.tif,152.905,345.535,152,785,0.82,1.742,0.574,0.959,AM,MCF-10A
33,Trial2_2-0002.tif,98.109,317.678,152,794,0.96,1.081,0.925,0.984,AM,MCF-10A
34,Trial1_10-0002.tif,95.504,345.889,153,812,0.784,1.923,0.52,0.968,AM,MCF-10A
35,Trial1_10-0002.tif,161.617,356.44,155,875,0.773,1.383,0.723,0.931,AM,MCF-10A
36,Trial1_10-0002.tif,166.462,366.136,153,880,0.532,2.602,0.384,0.813,AM,MCF-10A
37,Trial1_10-0002.tif,87.678,340.79,155,703,0.747,1.677,0.596,0.946,AM,MCF-10A
38,Trial1_10-0002.tif,159.103,308.877,153,896,0.557,3.33,0.3,0.923,AM,MCF-10A
39,Trial1_10-0002.tif,117.499,302.189,152,812,0.749,2.142,0.467,0.972,AM,MCF-10A
40,Trial1_9-0002.tif,100.669,258.136,150,587,0.848,1.305,0.766,0.966,AM,MCF-10A
41,Trial2_1-0002.tif,98.667,298.285,152,747,0.474,4.202,0.238,0.93,AM,MCF-10A
42,Trial2_1-0002.tif,87.815,304.916,152,821,0.834,1.641,0.609,0.973,AM,MCF-10A
43,Trial2_1-0002.tif,67.503,297.018,153,707,0.838,1.588,0.63,0.964,AM,MCF-10A
44,Trial2_1-0002.tif,128.195,282.953,151,716,0.924,1.446,0.692,0.987,AM,MCF-10A
45,Trial1_7-0002.tif,69.486,302.281,152,659,0.906,1.21,0.826,0.975,AM,MCF-10A
46,Trial1_7-0002.tif,94.187,278.941,150,606,0.655,1.987,0.503,0.939,AM,MCF-10A
47,Trial1_7-0002.tif,111.602,272.089,152,580,0.736,2.238,0.447,0.959,AM,MCF-10A
48,Trial1_7-0002.tif,80.475,288.175,152,687,0.899,1.532,0.653,0.977,AM,MCF-10A
49,Trial1_6-0002.tif,191.986,360.157,153,1022,0.683,2.484,0.403,0.971,AM,MCF-10A
50,Trial1_6-0002.tif,80.429,325.232,151,685,0.665,2.837,0.352,0.947,AM,MCF-10A
51,Trial1_6-0002.tif,133.424,350.168,153,969,0.596,2.744,0.364,0.963,AM,MCF-10A
52,Trial1_6-0002.tif,180.878,327.586,153,819,0.826,1.576,0.634,0.956,AM,MCF-10A
53,Trial1_6-0002.tif,78.144,310.056,151,752,0.78,2.147,0.466,0.984,AM,MCF-10A
54,Trial1_5-0002.tif,149.76,335.701,151,780,0.864,1.425,0.702,0.971,AM,MCF-10A
55,Trial1_5-0002.tif,69.697,327.863,153,722,0.956,1.099,0.91,0.978,AM,MCF-10A
56,Trial1_5-0002.tif,111.502,327.605,154,705,0.744,1.775,0.563,0.93,AM,MCF-10A
57,Trial1_5-0002.tif,120.387,349.066,152,913,0.917,1.385,0.722,0.987,AM,MCF-10A
58,Trial1_3-0002.tif,67.384,326.589,153,698,0.866,1.365,0.733,0.974,AM,MCF-10A
59,Trial1_3-0002.tif,67.265,378.784,165,763,0.887,1.527,0.655,0.973,AM,MCF-10A
60,Trial1_3-0002.tif,47.619,355.833,166,829,0.827,1.303,0.768,0.951,AM,MCF-10A
61,Trial1_2-0002.tif,100.87,313.025,150,678,0.706,2.534,0.395,0.97,AM,MCF-10A
62,Trial1_2-0002.tif,99.233,300.205,152,809,0.745,2.089,0.479,0.976,AM,MCF-10A
63,Trial1_1-0002.tif,135.672,389.564,152,991,0.785,1.835,0.545,0.98,AM,MCF-10A
64,Trial1_1-0002.tif,122.234,289.177,152,619,0.934,1.206,0.829,0.983,AM,MCF-10A
65,Trial1_1-0002.tif,89.616,317.389,152,923,0.898,1.461,0.684,0.978,AM,MCF-10A
66,Trial1_1-0002.tif,100.989,316.891,152,758,0.809,1.968,0.508,0.977,AM,MCF-10A
1,Trial2_11-0002.tif,204.373,272.771,152,683,0.933,1.184,0.844,0.975,RM,MCF-10A
2,Trial2_10-0002.tif,215.297,296.267,152,727,0.953,1.106,0.904,0.984,RM,MCF-10A
3,Trial2_9-0002.tif,151.433,304.506,153,749,0.821,1.268,0.788,0.969,RM,MCF-10A
4,Trial2_9-0002.tif,103.887,401.44,154,887,0.853,1.509,0.663,0.971,RM,MCF-10A
5,Trial2_9-0002.tif,121.695,329.619,155,899,0.94,1.142,0.876,0.981,RM,MCF-10A
6,Trial2_9-0002.tif,106.977,335.894,154,794,0.901,1.496,0.668,0.979,RM,MCF-10A
7,Trial2_9-0002.tif,103.11,355.812,154,781,0.943,1.303,0.767,0.982,RM,MCF-10A
8,Trial2_8-0002.tif,161.425,316.567,153,893,0.927,1.194,0.837,0.98,RM,MCF-10A
9,Trial2_8-0002.tif,236.35,329.725,153,784,0.934,1.114,0.898,0.984,RM,MCF-10A
10,Trial2_8-0002.tif,144.851,345.698,152,1269,0.945,1.187,0.842,0.981,RM,MCF-10A
11,Trial2_8-0002.tif,122.371,338.421,154,848,0.939,1.17,0.855,0.98,RM,MCF-10A
12,Trial2_7-0002.tif,142.264,288.692,152,636,0.831,1.83,0.546,0.97,RM,MCF-10A
13,Trial2_7-0002.tif,141.624,346.479,154,833,0.879,1.544,0.648,0.98,RM,MCF-10A
14,Trial2_6-0002.tif,74.99,301.522,153,1087,0.901,1.265,0.791,0.974,RM,MCF-10A
15,Trial2_6-0002.tif,86.728,292.477,153,937,0.929,1.096,0.912,0.979,RM,MCF-10A
16,Trial2_5-0002.tif,187.725,338.957,153,783,0.921,1.27,0.787,0.977,RM,MCF-10A
17,Trial2_5-0002.tif,192.507,270.564,152,617,0.949,1.141,0.877,0.981,RM,MCF-10A
18,Trial2_5-0002.tif,156.9,323.04,153,703,0.943,1.177,0.85,0.982,RM,MCF-10A
19,Trial2_5-0002.tif,298.615,330.111,153,849,0.824,1.704,0.587,0.978,RM,MCF-10A
20,Trial2_5-0002.tif,197.224,321.826,152,751,0.889,1.519,0.658,0.98,RM,MCF-10A
21,Trial2_4-0002.tif,215.132,289.167,152,1012,0.919,1.259,0.794,0.977,RM,MCF-10A
22,Trial2_4-0002.tif,166.69,296.323,151,738,0.917,1.078,0.928,0.983,RM,MCF-10A
23,Trial2_4-0002.tif,158.792,321.027,152,766,0.905,1.355,0.738,0.983,RM,MCF-10A
24,Trial2_3-0002.tif,214.291,288.82,152,635,0.716,1.839,0.544,0.936,RM,MCF-10A
25,Trial2_3-0002.tif,151.405,283.091,153,1059,0.859,1.539,0.65,0.976,RM,MCF-10A
26,Trial2_2-0002.tif,79.524,523.293,152,1442,0.838,1.336,0.749,0.967,RM,MCF-10A
27,Trial2_1-0002.tif,92.597,321.359,152,762,0.832,1.497,0.668,0.956,RM,MCF-10A
28,Trial2_1-0002.tif,74.313,355.124,164,934,0.797,1.479,0.676,0.948,RM,MCF-10A
29,Trial2_1-0002.tif,111.282,349.258,153,755,0.856,1.591,0.629,0.971,RM,MCF-10A
30,Trial2_1-0002.tif,132.784,355.546,152,1086,0.912,1.134,0.882,0.98,RM,MCF-10A
31,Trial2_1-0002.tif,107.132,332.1,152,821,0.931,1.104,0.906,0.976,RM,MCF-10A
32,Trial1_10-0002.tif,173.3,385.622,154,1067,0.88,1.471,0.68,0.97,RM,MCF-10A
33,Trial1_10-0002.tif,167.815,308.384,152,910,0.927,1.159,0.863,0.983,RM,MCF-10A
34,Trial1_10-0002.tif,183.776,332.169,152,906,0.849,1.605,0.623,0.98,RM,MCF-10A
35,Trial1_10-0002.tif,85.695,357.268,152,861,0.926,1.107,0.904,0.975,RM,MCF-10A
36,Trial1_10-0002.tif,143.498,367.013,156,1150,0.959,1.04,0.962,0.981,RM,MCF-10A
37,Trial1_8-0002.tif,116.63,228.299,151,711,0.906,1.303,0.767,0.979,RM,MCF-10A
38,Trial1_8-0002.tif,112.516,233.434,151,573,0.836,1.476,0.678,0.983,RM,MCF-10A
39,Trial1_8-0002.tif,120.698,237.524,151,669,0.902,1.163,0.86,0.976,RM,MCF-10A
40,Trial1_7-0002.tif,90.156,360.368,153,832,0.888,1.471,0.68,0.971,RM,MCF-10A
41,Trial1_7-0002.tif,59.494,424.92,157,1081,0.783,1.914,0.522,0.97,RM,MCF-10A
42,Trial1_7-0002.tif,81.974,300.873,153,688,0.809,1.705,0.586,0.969,RM,MCF-10A
43,Trial1_6-0002.tif,142.858,401.509,154,877,0.878,1.339,0.747,0.978,RM,MCF-10A
44,Trial1_6-0002.tif,123.605,286.087,151,734,0.898,1.319,0.758,0.978,RM,MCF-10A
45,Trial1_6-0002.tif,99.106,411.483,162,858,0.919,1.213,0.825,0.979,RM,MCF-10A
46,Trial1_5-0002.tif,246.936,360.731,152,958,0.861,1.526,0.655,0.983,RM,MCF-10A
47,Trial1_4-0002.tif,196.94,387.594,154,1370,0.838,1.567,0.638,0.978,RM,MCF-10A
48,Trial1_3-0002.tif,93.584,394.001,151,915,0.851,1.578,0.634,0.973,RM,MCF-10A
49,Trial1_3-0002.tif,118.806,319.044,153,1101,0.752,1.882,0.531,0.972,RM,MCF-10A
50,Trial1_3-0002.tif,118.285,377.612,154,814,0.922,1.228,0.815,0.98,RM,MCF-10A
51,Trial1_1-0002.tif,127.161,266.799,152,581,0.849,1.373,0.729,0.975,RM,MCF-10A
1,Trial2_11-0002.tif,136.861,269.833,151,1015,0.877,1.495,0.669,0.976,AM,MCF-10A
2,Trial2_11-0002.tif,119.071,253.871,152,785,0.645,2.437,0.41,0.929,AM,MCF-10A
3,Trial2_11-0002.tif,51.404,253.083,151,598,0.899,1.324,0.755,0.963,AM,MCF-10A
4,Trial2_11-0002.tif,53.543,246.344,151,590,0.623,2.778,0.36,0.921,AM,MCF-10A
5,Trial2_10-0002.tif,84.278,249.638,151,563,0.709,2.171,0.461,0.967,AM,MCF-10A
6,Trial2_10-0002.tif,83.199,256.002,152,526,0.766,1.748,0.572,0.979,AM,MCF-10A
7,Trial2_10-0002.tif,80.74,241.743,151,592,0.818,1.797,0.557,0.977,AM,MCF-10A
8,Trial2_9-0002.tif,82.349,247.601,152,555,0.854,1.561,0.641,0.961,AM,MCF-10A
9,Trial2_9-0002.tif,62.438,233.027,152,536,0.441,3.907,0.256,0.937,AM,MCF-10A
10,Trial2_9-0002.tif,127.92,286.454,152,801,0.866,1.151,0.869,0.982,AM,MCF-10A
11,Trial2_8-0002.tif,111.163,259.939,151,786,0.812,1.694,0.59,0.971,AM,MCF-10A
12,Trial2_8-0002.tif,129.419,265.357,152,761,0.643,2.571,0.389,0.944,AM,MCF-10A
13,Trial2_8-0002.tif,66.323,296.784,152,677,0.753,1.915,0.522,0.96,AM,MCF-10A
14,Trial2_8-0002.tif,94.827,244.147,152,697,0.776,1.992,0.502,0.971,AM,MCF-10A
15,Trial2_7-0002.tif,47.126,320.291,155,671,0.719,2.032,0.492,0.961,AM,MCF-10A
16,Trial2_7-0002.tif,67.018,266.333,152,617,0.74,1.922,0.52,0.959,AM,MCF-10A
17,Trial2_7-0002.tif,96.29,253.895,151,542,0.861,1.459,0.685,0.971,AM,MCF-10A
18,Trial2_7-0002.tif,74.039,241.002,152,613,0.791,1.74,0.575,0.96,AM,MCF-10A
19,Trial2_6-0002.tif,134,262.489,151,622,0.717,1.968,0.508,0.967,AM,MCF-10A
20,Trial2_6-0002.tif,161.26,339.037,153,761,0.923,1.313,0.762,0.98,AM,MCF-10A
21,Trial2_6-0002.tif,85.74,245.918,151,531,0.641,1.843,0.542,0.972,AM,MCF-10A
22,Trial2_6-0002.tif,77.531,287.905,153,644,0.718,2.148,0.466,0.957,AM,MCF-10A
23,Trial2_5_0001-0002.tif,126.595,329.78,152,984,0.854,1.421,0.704,0.977,AM,MCF-10A
24,Trial2_5_0001-0002.tif,58.562,315.137,152,813,0.854,1.631,0.613,0.969,AM,MCF-10A
25,Trial2_5_0001-0002.tif,81.873,265.078,152,558,0.823,1.682,0.595,0.969,AM,MCF-10A
26,Trial2_5_0001-0002.tif,57.054,295.946,152,618,0.802,1.824,0.548,0.966,AM,MCF-10A
27,Trial2_3-0002.tif,79.058,236.416,151,491,0.796,1.89,0.529,0.972,AM,MCF-10A
28,Trial2_3-0002.tif,100.486,232.184,151,491,0.787,1.616,0.619,0.973,AM,MCF-10A
29,Trial2_3-0002.tif,106.41,233.965,151,790,0.779,1.789,0.559,0.964,AM,MCF-10A
30,Trial2_3-0002.tif,82.385,230.681,151,514,0.794,1.854,0.54,0.964,AM,MCF-10A
31,Trial2_3-0002.tif,156.269,218.394,151,583,0.758,1.692,0.591,0.961,AM,MCF-10A
32,Trial2_3-0002.tif,50.179,285.706,152,599,0.863,1.382,0.724,0.957,AM,MCF-10A
33,Trial2_2-0002.tif,70.602,240.197,152,555,0.816,1.809,0.553,0.97,AM,MCF-10A
34,Trial2_2-0002.tif,91.829,232.704,151,650,0.844,1.454,0.688,0.968,AM,MCF-10A
35,Trial2_2-0002.tif,74.779,230.06,152,547,0.638,2.69,0.372,0.96,AM,MCF-10A
36,Trial2_2-0002.tif,63.133,219.11,151,480,0.752,2.284,0.438,0.969,AM,MCF-10A
37,Trial1_9_0001-0002.tif,102.68,357.481,155,933,0.895,1.322,0.756,0.963,AM,MCF-10A
38,Trial1_9_0001-0002.tif,108.585,406.654,155,1017,0.914,1.361,0.735,0.976,AM,MCF-10A
39,Trial1_9_0001-0002.tif,83.949,425.148,159,1235,0.748,1.896,0.527,0.956,AM,MCF-10A
40,Trial1_9_0001-0002.tif,120.561,438.721,170,910,0.92,1.208,0.828,0.978,AM,MCF-10A
41,Trial1_9_0001-0002.tif,76.059,465.154,173,1001,0.808,1.827,0.547,0.969,AM,MCF-10A
42,Trial1_9_0001-0002.tif,67.658,457.81,165,924,0.957,1.047,0.955,0.979,AM,MCF-10A
43,Trial1_8-0002.tif,95.129,316.203,153,803,0.848,1.687,0.593,0.969,AM,MCF-10A
44,Trial1_8-0002.tif,77.403,282.868,152,628,0.865,1.366,0.732,0.976,AM,MCF-10A
45,Trial1_6-0002.tif,93.401,297.544,152,745,0.823,1.926,0.519,0.974,AM,MCF-10A
46,Trial1_6-0002.tif,107.269,281.066,151,718,0.781,1.653,0.605,0.978,AM,MCF-10A
47,Trial1_6-0002.tif,98.347,285.999,151,758,0.839,1.632,0.613,0.977,AM,MCF-10A
48,Trial1_5-0002.tif,98.749,316.97,151,837,0.834,1.705,0.586,0.975,AM,MCF-10A
49,Trial1_5-0002.tif,126.046,261.049,152,588,0.791,2.105,0.475,0.979,AM,MCF-10A
50,Trial1_5-0002.tif,125.361,263.355,152,644,0.736,2.233,0.448,0.974,AM,MCF-10A
51,Trial1_5-0002.tif,60.436,317.346,154,681,0.692,2.603,0.384,0.963,AM,MCF-10A
52,Trial1_5-0002.tif,109.445,248.718,151,748,0.76,1.942,0.515,0.956,AM,MCF-10A
53,Trial1_4-0002.tif,91.874,351.784,152,802,0.832,1.505,0.665,0.98,AM,MCF-10A
54,Trial1_4-0002.tif,88.858,365.561,152,1047,0.833,1.605,0.623,0.97,AM,MCF-10A
55,Trial1_3-0002.tif,109.033,303.008,151,700,0.804,1.567,0.638,0.968,AM,MCF-10A
56,Trial1_3-0002.tif,72.083,271.924,151,684,0.814,1.903,0.525,0.97,AM,MCF-10A
57,Trial1_3-0002.tif,71.406,379.396,151,1183,0.739,2.116,0.473,0.967,AM,MCF-10A
58,Trial1_3-0002.tif,101.629,301.326,152,689,0.881,1.137,0.879,0.973,AM,MCF-10A
59,Trial1_2-0002.tif,97.076,276.667,152,673,0.804,1.618,0.618,0.962,AM,MCF-10A
60,Trial1_2-0002.tif,102.716,257.771,151,945,0.768,1.82,0.549,0.974,AM,MCF-10A
61,Trial1_2-0002.tif,93.648,261.721,151,611,0.808,1.888,0.53,0.975,AM,MCF-10A
62,Trial1_2-0002.tif,50.033,253.49,151,680,0.641,2.934,0.341,0.954,AM,MCF-10A
63,Trial1_1-0002.tif,90.549,281.385,151,632,0.874,1.601,0.625,0.98,AM,MCF-10A
64,Trial1_1-0002.tif,94.836,266.279,151,822,0.826,1.618,0.618,0.963,AM,MCF-10A
65,Trial1_1-0002.tif,105.523,277.926,151,592,0.709,1.784,0.56,0.957,AM,MCF-10A
66,Trial1_1-0002.tif,85.914,271.825,152,586,0.887,1.214,0.824,0.973,AM,MCF-10A
67,Trial1_1-0002.tif,74.999,271.956,152,652,0.852,1.472,0.68,0.957,AM,MCF-10A
68,Trial1_1-0002.tif,64.12,298.962,151,740,0.692,2.019,0.495,0.946,AM,MCF-10A
1,Trial2_11-0002.tif,83.098,333.869,154,804,0.879,1.676,0.597,0.986,RM,MCF-10A
2,Trial2_11-0002.tif,79.506,315.658,153,791,0.941,1.204,0.831,0.977,RM,MCF-10A
3,Trial2_11-0002.tif,91.829,334.953,154,724,0.927,1.128,0.886,0.969,RM,MCF-10A
4,Trial2_11-0002.tif,99.517,317.876,155,647,0.962,1.119,0.894,0.987,RM,MCF-10A
5,Trial2_11-0002.tif,114.793,333.634,154,778,0.939,1.101,0.908,0.975,RM,MCF-10A
6,Trial2_10-0002.tif,152.329,328.679,153,1117,0.853,1.102,0.907,0.979,RM,MCF-10A
7,Trial2_10-0002.tif,139.667,338.914,154,743,0.931,1.134,0.882,0.984,RM,MCF-10A
8,Trial2_10-0002.tif,139.512,335.881,153,866,0.961,1.09,0.918,0.983,RM,MCF-10A
9,Trial2_10-0002.tif,77.348,290.883,152,632,0.972,1.112,0.899,0.988,RM,MCF-10A
10,Trial2_10-0002.tif,127.317,292.475,152,675,0.954,1.136,0.88,0.984,RM,MCF-10A
11,Trial2_9-0002.tif,96.244,313.613,155,771,0.955,1.249,0.801,0.986,RM,MCF-10A
12,Trial2_9-0002.tif,95.129,320.928,153,727,0.948,1.05,0.952,0.985,RM,MCF-10A
13,Trial2_9-0002.tif,89.159,305.456,153,739,0.908,1.569,0.637,0.984,RM,MCF-10A
14,Trial2_9-0002.tif,153.325,411.047,153,1207,0.878,1.189,0.841,0.98,RM,MCF-10A
15,Trial2_8-0002.tif,198.138,310.502,152,734,0.816,1.737,0.576,0.957,RM,MCF-10A
16,Trial2_8-0002.tif,88.574,316.021,153,696,0.877,1.422,0.703,0.967,RM,MCF-10A
17,Trial2_8-0002.tif,114.354,285.128,153,686,0.936,1.086,0.92,0.985,RM,MCF-10A
18,Trial2_8-0002.tif,77.805,348.384,153,853,0.762,1.826,0.548,0.963,RM,MCF-10A
19,Trial2_7-0002.tif,153.188,329.579,153,721,0.869,1.395,0.717,0.977,RM,MCF-10A
20,Trial2_7-0002.tif,105.642,366.36,156,1083,0.897,1.328,0.753,0.971,RM,MCF-10A
21,Trial2_7-0002.tif,160.474,335.516,154,813,0.873,1.363,0.734,0.98,RM,MCF-10A
22,Trial2_7-0002.tif,58.114,330.486,154,736,0.799,1.963,0.51,0.961,RM,MCF-10A
23,Trial2_6-0002.tif,145.07,288.643,152,687,0.937,1.072,0.933,0.98,RM,MCF-10A
24,Trial2_6-0002.tif,118.129,271.473,152,664,0.897,1.071,0.933,0.982,RM,MCF-10A
25,Trial2_5-0002.tif,82.696,326.757,152,864,0.951,1.105,0.905,0.977,RM,MCF-10A
26,Trial2_5-0002.tif,119.501,281.377,152,684,0.87,1.5,0.667,0.976,RM,MCF-10A
27,Trial2_5-0002.tif,128.953,289.131,152,856,0.939,1.186,0.843,0.978,RM,MCF-10A
28,Trial2_5-0002.tif,138.488,282.134,151,654,0.863,1.711,0.584,0.982,RM,MCF-10A
29,Trial2_5-0002.tif,101.638,317.963,153,694,0.918,1.466,0.682,0.983,RM,MCF-10A
30,Trial2_5-0002.tif,79.999,319.452,153,773,0.952,1.281,0.781,0.983,RM,MCF-10A
31,Trial2_4-0002.tif,134.146,264.766,152,641,0.914,1.277,0.783,0.974,RM,MCF-10A
32,Trial2_4-0002.tif,120.278,261.683,150,619,0.971,1.071,0.934,0.987,RM,MCF-10A
33,Trial2_4-0002.tif,97.049,268.48,152,644,0.788,1.981,0.505,0.978,RM,MCF-10A
34,Trial2_4-0002.tif,65.802,288.074,153,624,0.909,1.138,0.879,0.973,RM,MCF-10A
35,Trial2_3-0002.tif,103.969,246.502,152,725,0.917,1.397,0.716,0.981,RM,MCF-10A
36,Trial2_3-0002.tif,128.597,257.509,152,696,0.969,1.16,0.862,0.99,RM,MCF-10A
37,Trial2_3-0002.tif,209.382,262.369,151,601,0.933,1.112,0.899,0.983,RM,MCF-10A
38,Trial2_2-0002.tif,139.896,250.413,151,589,0.906,1.069,0.935,0.975,RM,MCF-10A
39,Trial2_2-0002.tif,100.98,270.716,152,635,0.853,1.578,0.634,0.982,RM,MCF-10A
40,Trial2_2-0002.tif,95.092,256.332,152,720,0.874,1.559,0.641,0.981,RM,MCF-10A
41,Trial2_2-0002.tif,125.708,275.136,152,878,0.958,1.166,0.858,0.988,RM,MCF-10A
42,Trial2_1-0002.tif,102.031,241.399,152,533,0.88,1.615,0.619,0.985,RM,MCF-10A
43,Trial2_1-0002.tif,132.418,278.718,152,783,0.938,1.202,0.832,0.982,RM,MCF-10A
44,Trial2_1-0002.tif,76.324,274.708,152,636,0.837,1.597,0.626,0.969,RM,MCF-10A
45,Trial2_1-0002.tif,124.611,278.397,152,666,0.814,1.755,0.57,0.975,RM,MCF-10A
46,Trial1_10-0002.tif,107.507,399.822,152,942,0.856,1.664,0.601,0.974,RM,MCF-10A
47,Trial1_10-0002.tif,59.577,450.294,159,1098,0.826,1.286,0.777,0.976,RM,MCF-10A
48,Trial1_10-0002.tif,107.58,287.2,152,1057,0.862,1.212,0.825,0.976,RM,MCF-10A
49,Trial1_10-0002.tif,89.827,346.44,153,847,0.814,1.822,0.549,0.969,RM,MCF-10A
50,Trial1_10-0002.tif,205.991,346.504,153,815,0.93,1.057,0.946,0.989,RM,MCF-10A
51,Trial1_9-0002.tif,96.537,293.843,152,721,0.823,1.709,0.585,0.967,RM,MCF-10A
52,Trial1_9-0002.tif,102.195,282.778,152,718,0.822,1.805,0.554,0.974,RM,MCF-10A
53,Trial1_9-0002.tif,143.955,280.317,152,698,0.771,1.23,0.813,0.961,RM,MCF-10A
54,Trial1_9-0002.tif,84.579,308.292,152,794,0.873,1.591,0.629,0.973,RM,MCF-10A
55,Trial1_8-0002.tif,158.362,432.519,156,1088,0.835,1.741,0.574,0.983,RM,MCF-10A
56,Trial1_7-0002.tif,77.138,332.171,153,808,0.68,2.304,0.434,0.965,RM,MCF-10A
57,Trial1_7-0002.tif,113.97,273.951,151,667,0.861,1.544,0.648,0.974,RM,MCF-10A
58,Trial1_6-0002.tif,173.227,300.434,152,687,0.809,1.572,0.636,0.978,RM,MCF-10A
59,Trial1_5-0002.tif,105.889,289.626,152,610,0.94,1.267,0.789,0.981,RM,MCF-10A
60,Trial1_5-0002.tif,111.118,345.114,152,793,0.893,1.172,0.853,0.974,RM,MCF-10A
61,Trial1_5-0002.tif,151.99,342.901,153,763,0.849,1.672,0.598,0.977,RM,MCF-10A
62,Trial1_4-0002.tif,174.973,332.985,153,832,0.848,1.552,0.644,0.977,RM,MCF-10A
63,Trial1_4-0002.tif,97.113,311.401,153,716,0.794,1.667,0.6,0.948,RM,MCF-10A
64,Trial1_4-0002.tif,182.167,307.688,153,683,0.867,1.414,0.707,0.979,RM,MCF-10A
65,Trial1_3-0002.tif,124.913,311.057,152,707,0.852,1.572,0.636,0.972,RM,MCF-10A
66,Trial1_3-0002.tif,132.939,256.239,151,581,0.898,1.526,0.655,0.982,RM,MCF-10A
67,Trial1_2-0002.tif,139.302,386.001,153,907,0.74,1.991,0.502,0.966,RM,MCF-10A
68,Trial1_2-0002.tif,104.975,298.573,152,644,0.856,1.261,0.793,0.975,RM,MCF-10A