AM_10A,AM_10A_val,RM_10A,RM_10A_val,AM_231,AM_231_val,RM_231,RM_231_val
N1_n1,0.2921,N1_n1,0.2837,N1_n1,0.469,N1_n1,0.4464
N1_n1,0.2766,N1_n1,0.3161,N1_n1,0.4091,N1_n1,0.4094
N1_n1,0.238,N1_n1,0.3081,N1_n1,0.3955,N1_n1,0.4491
N1_n1,0.2578,N1_n1,0.3024,N1_n1,0.4365,N1_n1,0.4025
N1_n1,0.2915,N1_n1,0.3265,N1_n1,0.4263,N1_n1,0.4631
N1_n1,0.3016,N1_n1,0.3153,N1_n1,0.4437,N1_n1,0.3947
N1_n1,0.256,N1_n1,0.3406,N1_n1,0.4367,N1_n1,0.4277
N1_n1,0.2658,N1_n1,0.3376,N1_n1,0.3956,N1_n1,0.4044
N1_n1,0.294,N1_n1,0.3227,N1_n1,0.3777,N1_n1,0.3944
N1_n1,0.3213,N1_n1,0.3302,N1_n1,0.3948,N1_n1,0.3687
N1_n1,0.2725,N1_n1,0.3022,N1_n1,0.4345,N1_n1,0.4152
N1_n1,0.2457,N1_n1,0.3316,N1_n1,0.4432,N1_n1,0.3284
N1_n1,0.2639,N1_n1,0.3044,N1_n1,0.4196,N1_n1,0.3775
N1_n1,0.3052,N1_n1,0.3042,N1_n1,0.4394,N1_n1,0.3832
N1_n1,0.2811,N1_n1,0.3102,N1_n1,0.4193,N1_n1,0.4507
N1_n1,0.2803,N1_n2,0.317690578,N1_n1,0.43,N1_n2,0.425198697
N1_n1,0.2945,N1_n2,0.30581656,N1_n1,0.4147,N1_n2,0.412111064
N1_n1,0.2717,N1_n2,0.287011991,N1_n1,0.4146,N1_n2,0.417788348
N1_n1,0.2985,N1_n2,0.295687295,N1_n1,0.4133,N1_n2,0.370995575
N1_n1,0.2619,N1_n2,0.309402998,N1_n1,0.4415,N1_n2,0.381931817
N1_n1,0.29,N1_n2,0.304314133,N1_n1,0.4014,N1_n2,0.481852016
N1_n1,0.2812,N1_n2,0.302908637,N1_n1,0.4288,N1_n2,0.406314258
N1_n1,0.2786,N1_n2,0.286963526,N1_n1,0.4137,N1_n2,0.44766879
N1_n1,0.3048,N1_n2,0.292633976,N1_n1,0.4068,N1_n2,0.426872002
N1_n1,0.2986,N1_n2,0.30707666,N1_n1,0.4073,N1_n2,0.41049752
N1_n1,0.2854,N1_n2,0.273538615,N1_n2,0.392389971,N1_n2,0.444202659
N1_n1,0.264,N1_n2,0.29132541,N1_n2,0.416951695,N1_n2,0.435119004
N1_n1,0.278,N1_n2,0.304798787,N1_n2,0.403146931,N1_n2,0.441035332
N1_n1,0.2851,N1_n2,0.299079872,N1_n2,0.497270325,N1_n2,0.431712634
N1_n1,0.275,N1_n2,0.30518651,N1_n2,0.380318273,N1_n2,0.461354033
N1_n2,0.317690578,N1_n2,0.299419129,N1_n2,0.398186777,N1_n2,0.463624946
N1_n2,0.30581656,N1_n2,0.298401356,N1_n2,0.381633012,N1_n2,0.469481513
N1_n2,0.287011991,N1_n2,0.289726053,N1_n2,0.384083208,N1_n2,0.436254461
N1_n2,0.295687295,N1_n2,0.301309279,N1_n2,0.367947769,N1_n2,0.39633419
N1_n2,0.309402998,N1_n2,0.316285082,N1_n2,0.392210689,N1_n2,0.411931781
N1_n2,0.304314133,N1_n2,0.344831192,N1_n2,0.409601106,N2_n1,0.4051
N1_n2,0.302908637,N1_n2,0.283377088,N1_n2,0.495118933,N2_n1,0.4187
N1_n2,0.286963526,N1_n2,0.301454675,N1_n2,0.35784818,N2_n1,0.4662
N1_n2,0.292633976,N1_n2,0.281196146,N1_n2,0.383784404,N2_n1 ,0.4505
N1_n2,0.30707666,N1_n2,0.348126838,N1_n2,0.390059297,N2_n1,0.415
N1_n2,0.273538615,N2_n1,0.3095,N1_n2,0.388385992,N2_n1,0.3864
N1_n2,0.29132541,N2_n1,0.319,N1_n2,0.374999554,N2_n1,0.3991
N1_n2,0.304798787,N2_n1 ,0.2901,N1_n2,0.379959707,N2_n1 ,0.4005
N1_n2,0.299079872,N2_n1,0.3006,N1_n2,0.348346199,N2_n1,0.5455
N1_n2,0.30518651,N2_n1,0.3101,N1_n2,0.372310314,N2_n1,0.4062
N1_n2,0.299419129,N2_n1,0.2801,N1_n2,0.358027463,N2_n1,0.4272
N1_n2,0.298401356,N2_n1,0.2903,N1_n2,0.506772305,N2_n1,0.4112
N1_n2,0.289726053,N2_n1 ,0.2792,N1_n2,0.418505478,N2_n1 ,0.4405
N1_n2,0.301309279,N2_n1,0.3282,N1_n2,0.483346039,N2_n1,0.4395
N1_n2,0.316285082,N2_n1,0.3271,N1_n2,0.428844111,N2_n1 ,0.3277
N1_n2,0.344831192,N2_n1,0.2957,N2_n1,0.3095,N2_n1,0.4447
N1_n2,0.283377088,N2_n1 ,0.3168,N2_n1,0.319,N2_n1,0.3913
N1_n2,0.301454675,N2_n1,0.3179,N2_n1,0.2901,N2_n1,0.3989
N1_n2,0.281196146,N2_n1,0.3262,N2_n1 ,0.3006,N2_n1 ,0.4301
N1_n2,0.348126838,N2_n1,0.3256,N2_n1,0.3101,N2_n1,0.3776
N2_n1,0.272375,N2_n1,0.3143,N2_n1,0.2801,N2_n1 ,0.392
N2_n1,0.27282252,N2_n1 ,0.3338,N2_n1,0.2903,N2_n1,0.3668
N2_n1 ,0.26366876,N2_n1,0.3089,N2_n1 ,0.2792,N2_n1,0.3704
N2_n1,0.27449053,N2_n1 ,0.3246,N2_n1,0.3282,N2_n1,0.4075
N2_n1,0.28445795,N2_n1,0.2512,N2_n1,0.3271,N2_n1 ,0.373
N2_n1,0.30646764,N2_n1,0.3286,N2_n1,0.2957,N2_n1,0.3362
N2_n1,0.319527,N2_n1,0.3333,N2_n1,0.3168,N2_n1 ,0.3875
N2_n1 ,0.31387201,N2_n1 ,0.4355,N2_n1 ,0.3179,N2_n1,0.3901
N2_n1,0.28710237,N2_n1,0.3271,N2_n1,0.3262,N2_n1 ,0.3758
N2_n1,0.31281425,N2_n1 ,0.46,N2_n1 ,0.3256,N2_n1,0.3541
N2_n1,0.29174027,N2_n2,0.3037,N2_n1,0.3143,N2_n2,0.4843
N2_n1 ,0.31444158,N2_n2,0.3183,N2_n1,0.3338,N2_n2,0.4679
N2_n1,0.31126828,N2_n2 ,0.3102,N2_n1,0.3089,N2_n2 ,0.4912
N2_n1,0.31322108,N2_n2 ,0.3147,N2_n1 ,0.3246,N2_n2 ,0.4711
N2_n1,0.3212357,N2_n2,0.3321,N2_n1,0.2512,N2_n2,0.5251
N2_n1,0.2682253,N2_n2 ,0.3288,N2_n1 ,0.3286,N2_n2 ,0.4654
N2_n1 ,0.29056046,N2_n2 ,0.3462,N2_n1,0.3333,N2_n2 ,0.5046
N2_n1,0.28779399,N2_n2 ,0.3202,N2_n1,0.4355,N2_n2 ,0.4673
N2_n1 ,0.29544246,N2_n2 ,0.3509,N2_n1,0.3271,N2_n2 ,0.455
N2_n1,0.28352224,N2_n2,0.351,N2_n1 ,0.46,N2_n2,0.4506
N2_n2,0.3284,N2_n2 ,0.3358,N2_n2,0.3037,N2_n2 ,0.4461
N2_n2 ,0.3344,N2_n2 ,0.3174,N2_n2,0.3183,N2_n2 ,0.5126
N2_n2 ,0.3276,N2_n2,0.3348,N2_n2 ,0.3102,N2_n2,0.4206
N2_n2,0.3528,N2_n2 ,0.2744,N2_n2 ,0.3147,N2_n2 ,0.4915
N2_n2 ,0.316,N2_n2 ,0.3361,N2_n2,0.3321,N2_n2 ,0.4853
N2_n2 ,0.3329,N2_n2 ,0.353,N2_n2 ,0.3288,N2_n2 ,0.446
N2_n2,0.3467,N2_n2,0.3409,N2_n2 ,0.3462,N2_n2,0.473
N2_n2 ,0.3443,N2_n2 ,0.2407,N2_n2 ,0.3202,N2_n2 ,0.4628
N2_n2 ,0.3286,N2_n2 ,0.3108,N2_n2 ,0.3509,N2_n2 ,0.4918
N2_n2,0.3195,N2_n2,0.3594,N2_n2,0.351,N2_n2,0.473
N2_n2 ,0.3292,N2_n2 ,0.3096,N2_n2 ,0.3358,N2_n2 ,0.4564
N2_n2 ,0.3153,N2_n2 ,0.3444,N2_n2 ,0.3174,N2_n2 ,0.3979
N2_n2 ,0.3341,N2_n2,0.3495,N2_n2,0.3348,N2_n2,0.4393
N2_n2 ,0.3405,N2_n2 ,0.3655,N2_n2 ,0.2744,N2_n2 ,0.4934
N2_n2,0.3335,N2_n2 ,0.3489,N2_n2 ,0.3361,N2_n2 ,0.4676
N2_n2 ,0.3438,N3_n1 ,0.5977,N2_n2 ,0.353,N3_n1,0.5341
N2_n2 ,0.3481,N3_n1 ,0.4858,N2_n2,0.3409,N3_n1 ,0.5826
N2_n2,0.3527,N3_n1 ,0.4446,N2_n2 ,0.2407,N3_n1 ,0.3999
N2_n2 ,0.3373,N3_n1 ,0.6071,N2_n2 ,0.3108,N3_n1 ,0.5859
N2_n2 ,0.3454,N3_n1 ,0.5717,N2_n2,0.3594,N3_n1 ,0.5585
N3_n1 ,0.3778,N3_n1 ,0.6039,N2_n2 ,0.3096,N3_n1 ,0.5815
N3_n1 ,0.3712,N3_n1 ,0.401,N2_n2 ,0.3444,N3_n1 ,0.5365
N3_n1 ,0.4227,N3_n1 ,0.3971,N2_n2,0.3495,N3_n1 ,0.5296
N3_n1 ,0.4337,N3_n1 ,0.4793,N2_n2 ,0.3655,N3_n1 ,0.3452
N3_n1 ,0.389,N3_n1 ,0.5307,N2_n2 ,0.3489,N3_n1 ,0.3879
N3_n1 ,0.4897,N3_n1 ,0.5639,N3_n1 ,0.508,N3_n1 ,0.5866
N3_n1 ,0.5142,N3_n1 ,0.5552,N3_n1 ,0.4211,N3_n1 ,0.6081
N3_n1 ,0.4478,N3_n1 ,0.3994,N3_n1 ,0.4326,N3_n1 ,0.4351
N3_n1 ,0.4045,N3_n1 ,0.467,N3_n1 ,0.5342,N3_n1 ,0.4585
N3_n1 ,0.5153,N3_n1 ,0.5344,N3_n1 ,0.5807,N3_n1 ,0.4911
N3_n1 ,0.4318,N3_n1 ,0.3191,N3_n1 ,0.4761,N3_n1 ,0.541
N3_n1 ,0.3625,N3_n1 ,0.2367,N3_n1 ,0.4954,N3_n1 ,0.4119
N3_n1 ,0.5162,N3_n1 ,0.5152,N3_n1 ,0.4478,N3_n1 ,0.504
N3_n1 ,0.4584,N3_n1 ,0.3203,N3_n1 ,0.4238,N3_n1 ,0.5452
N3_n1 ,0.5335,N3_n1 ,0.42,N3_n1 ,0.4048,N3_n1 ,0.4895
N3_n1 ,0.4998,N3_n1 ,0.2809,N3_n1 ,0.4889,N3_n1 ,0.4485
N3_n1 ,0.4421,N3_n1 ,0.4128,N3_n1 ,0.3167,N3_n1 ,0.4713
N3_n1 ,0.3907,N3_n1 ,0.3873,N3_n1 ,0.5128,N3_n1 ,0.3582
N3_n1 ,0.4849,N3_n1 ,0.2603,N3_n1 ,0.3782,N3_n1 ,0.4241
N3_n1 ,0.3802,N3_n1 ,0.3293,N3_n1 ,0.4985,N3_n1 ,0.4172
N3_n1 ,0.4622,N4_n1 ,0.2951,N3_n1 ,0.5012,N4_n1 ,0.4069
N3_n1 ,0.3838,N4_n1,0.3465,N3_n1 ,0.5349,N4_n1,0.393
N3_n1 ,0.4509,N4_n1,0.3073,N3_n1 ,0.4909,N4_n1,0.3044
N3_n1 ,0.3964,N4_n1,0.3342,N3_n1 ,0.4946,N4_n1,0.3703
N3_n1 ,0.4997,N4_n1,0.4417,N3_n1 ,0.3803,N4_n1,0.3701
N4_n1,0.2939,N4_n1,0.2742,N3_n1 ,0.4222,N4_n1,0.3125
N4_n1,0.2721,N4_n1,0.2899,N3_n1 ,0.4021,N4_n1,0.3975
N4_n1,0.3582,N4_n1,0.3167,N3_n1 ,0.4206,N4_n1,0.3353
N4_n1,0.3401,N4_n1,0.3464,N3_n1 ,0.3882,N4_n1,0.2944
N4_n1,0.2965,N4_n1,0.3397,N3_n1 ,0.4809,N4_n1,0.3738
N4_n1,0.2139,N4_n1,0.2124,N4_n1 ,0.4678,N4_n1,0.3987
N4_n1,0.351,N4_n1,0.2963,N4_n1,0.3746,N4_n1,0.4509
N4_n1,0.3177,N4_n1,0.3633,N4_n1,0.4709,N4_n1,0.3631
N4_n1,0.377,N4_n1,0.3056,N4_n1,0.357,N4_n1,0.4103
N4_n1,0.3449,N4_n1,0.2391,N4_n1,0.4061,N4_n1,0.3487
N4_n1,0.245,N4_n1,0.2644,N4_n1,0.4226,N4_n1,0.4835
N4_n1,0.2824,N4_n1,0.2703,N4_n1,0.3402,N4_n1,0.4205
N4_n1,0.2472,N4_n1,0.2522,N4_n1,0.4926,N4_n1,0.4431
N4_n1,0.2487,N4_n1,0.3059,N4_n1,0.2909,N4_n1,0.4166
N4_n1,0.3185,N4_n1,0.2591,N4_n1,0.3707,N4_n1,0.3859
N4_n1,0.2758,N4_n1,0.2661,N4_n1,0.3102,N4_n1,0.398
N4_n1,0.2947,N4_n1,0.2837,N4_n1,0.2717,N4_n1,0.4319
N4_n1,0.2247,N4_n1,0.2555,N4_n1,0.3591,N4_n1,0.4681
N4_n1,0.215,N4_n1,0.3764,N4_n1,0.3496,N4_n1,0.4825
N4_n1,0.2723,N3_n2 ,0.3162,N4_n1,0.2874,N4_n1,0.3468
N4_n1,0.4718,N3_n2 ,0.3467,N4_n1,0.3339,N4_n2 ,0.458
N4_n1,0.3136,N3_n2 ,0.41,N4_n1,0.3359,N4_n2 ,0.6618
N4_n1,0.3652,N3_n2 ,0.491,N4_n1,0.3046,N4_n2 ,0.4927
N4_n1,0.2826,N3_n2 ,0.3329,N4_n1,0.3854,N4_n2 ,0.6161
N4_n1,0.3702,N3_n2 ,0.2661,N4_n1,0.4223,N4_n2 ,0.6499
N3_n2 ,0.424,N3_n2 ,0.437,N4_n1,0.2403,N4_n2 ,0.4399
N3_n2 ,0.406,N3_n2 ,0.3995,N4_n1,0.3764,N4_n2 ,0.4389
N3_n2 ,0.4158,N3_n2 ,0.4303,N4_n1,0.3447,N4_n2 ,0.5197
N3_n2 ,0.3875,N3_n2 ,0.4026,N4_n1,0.3191,N4_n2 ,0.5654
N3_n2 ,0.4208,N3_n2 ,0.3804,N4_n1,0.2687,N4_n2 ,0.4865
N3_n2 ,0.4902,N3_n2 ,0.3595,N4_n2 ,0.4699,N4_n2 ,0.5654
N3_n2 ,0.3731,N3_n2 ,0.3508,N4_n2 ,0.4319,N4_n2 ,0.5038
N3_n2 ,0.408,N3_n2 ,0.2498,N4_n2 ,0.4484,N4_n2 ,0.5
N3_n2 ,0.599,N3_n2 ,0.3566,N4_n2 ,0.2937,N4_n2 ,0.4665
N3_n2 ,0.5559,N3_n2 ,0.3222,N4_n2 ,0.4567,N4_n2 ,0.4537
N3_n2 ,0.5882,N3_n2 ,0.387,N4_n2 ,0.3325,N4_n2 ,0.4381
N3_n2 ,0.4369,N3_n2 ,0.4231,N4_n2 ,0.2903,N4_n2 ,0.4168
N3_n2 ,0.429,N3_n2 ,0.3352,N4_n2 ,0.3893,N4_n2 ,0.55
N3_n2 ,0.4645,N3_n2 ,0.3462,N4_n2 ,0.4534,N4_n2 ,0.5129
N3_n2 ,0.4939,N4_n2 ,0.3617,N4_n2 ,0.3701,N4_n2 ,0.4227
N3_n2 ,0.3483,N4_n2 ,0.2516,N4_n2 ,0.3125,N4_n2 ,0.5246
N3_n2 ,0.4572,N4_n2 ,0.3352,N4_n2 ,0.3409,N4_n2 ,0.4008
N3_n2 ,0.3109,N4_n2 ,0.2512,N4_n2 ,0.3924,N4_n2 ,0.3613
N3_n2 ,0.5533,N4_n2 ,0.2802,N4_n2 ,0.2912,N4_n2 ,0.5107
N3_n2 ,0.3842,N4_n2 ,0.2964,N4_n2 ,0.4352,N4_n2 ,0.4249
N3_n2 ,0.3337,N4_n2 ,0.2788,N4_n2 ,0.4297,,
N3_n2 ,0.3048,N4_n2 ,0.2554,N4_n2 ,0.3082,,
N3_n2 ,0.3509,N4_n2 ,0.3382,N4_n2 ,0.3738,,
N3_n2 ,0.4511,N4_n2 ,0.2639,N4_n2 ,0.3112,,
N3_n2 ,0.4047,N4_n2 ,0.212,N4_n2 ,0.3962,,
N3_n2 ,0.3398,N4_n2 ,0.1881,N4_n2 ,0.3315,,
N3_n2 ,0.5342,N4_n2 ,0.2821,N4_n2 ,0.4585,,
N3_n2 ,0.4624,N4_n2 ,0.359,N4_n2 ,0.3793,,
N3_n2 ,0.3187,N4_n2 ,0.2304,N4_n2 ,0.3357,,
N3_n2 ,0.3964,N4_n2 ,0.4589,N4_n2 ,0.4007,,
N4_n2 ,0.3097,N4_n2 ,0.2286,,,,
N4_n2 ,0.3189,N4_n2 ,0.3072,,,,
N4_n2 ,0.3414,N4_n2 ,0.3243,,,,
N4_n2 ,0.286,N4_n2 ,0.2254,,,,
N4_n2 ,0.234,N4_n2 ,0.295,,,,
N4_n2 ,0.3582,N4_n2 ,0.3546,,,,
N4_n2 ,0.3161,N4_n2 ,0.3592,,,,
N4_n2 ,0.4082,N4_n2 ,0.2129,,,,
N4_n2 ,0.3576,N4_n2 ,0.3374,,,,
N4_n2 ,0.3482,,,,,,
N4_n2 ,0.3051,,,,,,
N4_n2 ,0.3904,,,,,,
N4_n2 ,0.3338,,,,,,
N4_n2 ,0.2649,,,,,,
N4_n2 ,0.2582,,,,,,
N4_n2 ,0.2845,,,,,,
N4_n2 ,0.2392,,,,,,
N4_n2 ,0.3466,,,,,,
N4_n2 ,0.3623,,,,,,
N4_n2 ,0.3341,,,,,,
N4_n2 ,0.2729,,,,,,
N4_n2 ,0.267,,,,,,
N4_n2 ,0.2467,,,,,,
N4_n2 ,0.2713,,,,,,
N4_n2 ,0.2995,,,,,,