Type,Value
AM_10A,0.2921
AM_10A,0.2766
AM_10A,0.238
AM_10A,0.2578
AM_10A,0.2915
AM_10A,0.3016
AM_10A,0.256
AM_10A,0.2658
AM_10A,0.294
AM_10A,0.3213
AM_10A,0.2725
AM_10A,0.2457
AM_10A,0.2639
AM_10A,0.3052
AM_10A,0.2811
AM_10A,0.2803
AM_10A,0.2945
AM_10A,0.2717
AM_10A,0.2985
AM_10A,0.2619
AM_10A,0.29
AM_10A,0.2812
AM_10A,0.2786
AM_10A,0.3048
AM_10A,0.2986
AM_10A,0.2854
AM_10A,0.264
AM_10A,0.278
AM_10A,0.2851
AM_10A,0.275
AM_10A,0.317690578
AM_10A,0.30581656
AM_10A,0.287011991
AM_10A,0.295687295
AM_10A,0.309402998
AM_10A,0.304314133
AM_10A,0.302908637
AM_10A,0.286963526
AM_10A,0.292633976
AM_10A,0.30707666
AM_10A,0.273538615
AM_10A,0.29132541
AM_10A,0.304798787
AM_10A,0.299079872
AM_10A,0.30518651
AM_10A,0.299419129
AM_10A,0.298401356
AM_10A,0.289726053
AM_10A,0.301309279
AM_10A,0.316285082
AM_10A,0.344831192
AM_10A,0.283377088
AM_10A,0.301454675
AM_10A,0.281196146
AM_10A,0.348126838
AM_10A,0.272375
AM_10A,0.27282252
AM_10A,0.26366876
AM_10A,0.27449053
AM_10A,0.28445795
AM_10A,0.30646764
AM_10A,0.319527
AM_10A,0.31387201
AM_10A,0.28710237
AM_10A,0.31281425
AM_10A,0.29174027
AM_10A,0.31444158
AM_10A,0.31126828
AM_10A,0.31322108
AM_10A,0.3212357
AM_10A,0.2682253
AM_10A,0.29056046
AM_10A,0.28779399
AM_10A,0.29544246
AM_10A,0.28352224
AM_10A,0.3284
AM_10A,0.3344
AM_10A,0.3276
AM_10A,0.3528
AM_10A,0.316
AM_10A,0.3329
AM_10A,0.3467
AM_10A,0.3443
AM_10A,0.3286
AM_10A,0.3195
AM_10A,0.3292
AM_10A,0.3153
AM_10A,0.3341
AM_10A,0.3405
AM_10A,0.3335
AM_10A,0.3438
AM_10A,0.3481
AM_10A,0.3527
AM_10A,0.3373
AM_10A,0.3454
AM_10A,0.3778
AM_10A,0.3712
AM_10A,0.4227
AM_10A,0.4337
AM_10A,0.389
AM_10A,0.4897
AM_10A,0.5142
AM_10A,0.4478
AM_10A,0.4045
AM_10A,0.5153
AM_10A,0.4318
AM_10A,0.3625
AM_10A,0.5162
AM_10A,0.4584
AM_10A,0.5335
AM_10A,0.4998
AM_10A,0.4421
AM_10A,0.3907
AM_10A,0.4849
AM_10A,0.3802
AM_10A,0.4622
AM_10A,0.3838
AM_10A,0.4509
AM_10A,0.3964
AM_10A,0.4997
AM_10A,0.2939
AM_10A,0.2721
AM_10A,0.3582
AM_10A,0.3401
AM_10A,0.2965
AM_10A,0.2139
AM_10A,0.351
AM_10A,0.3177
AM_10A,0.377
AM_10A,0.3449
AM_10A,0.245
AM_10A,0.2824
AM_10A,0.2472
AM_10A,0.2487
AM_10A,0.3185
AM_10A,0.2758
AM_10A,0.2947
AM_10A,0.2247
AM_10A,0.215
AM_10A,0.2723
AM_10A,0.4718
AM_10A,0.3136
AM_10A,0.3652
AM_10A,0.2826
AM_10A,0.3702
AM_10A,0.424
AM_10A,0.406
AM_10A,0.4158
AM_10A,0.3875
AM_10A,0.4208
AM_10A,0.4902
AM_10A,0.3731
AM_10A,0.408
AM_10A,0.599
AM_10A,0.5559
AM_10A,0.5882
AM_10A,0.4369
AM_10A,0.429
AM_10A,0.4645
AM_10A,0.4939
AM_10A,0.3483
AM_10A,0.4572
AM_10A,0.3109
AM_10A,0.5533
AM_10A,0.3842
AM_10A,0.3337
AM_10A,0.3048
AM_10A,0.3509
AM_10A,0.4511
AM_10A,0.4047
AM_10A,0.3398
AM_10A,0.5342
AM_10A,0.4624
AM_10A,0.3187
AM_10A,0.3964
AM_10A,0.3097
AM_10A,0.3189
AM_10A,0.3414
AM_10A,0.286
AM_10A,0.234
AM_10A,0.3582
AM_10A,0.3161
AM_10A,0.4082
AM_10A,0.3576
AM_10A,0.3482
AM_10A,0.3051
AM_10A,0.3904
AM_10A,0.3338
AM_10A,0.2649
AM_10A,0.2582
AM_10A,0.2845
AM_10A,0.2392
AM_10A,0.3466
AM_10A,0.3623
AM_10A,0.3341
AM_10A,0.2729
AM_10A,0.267
AM_10A,0.2467
AM_10A,0.2713
AM_10A,0.2995
RM_10A,0.2837
RM_10A,0.3161
RM_10A,0.3081
RM_10A,0.3024
RM_10A,0.3265
RM_10A,0.3153
RM_10A,0.3406
RM_10A,0.3376
RM_10A,0.3227
RM_10A,0.3302
RM_10A,0.3022
RM_10A,0.3316
RM_10A,0.3044
RM_10A,0.3042
RM_10A,0.3102
RM_10A,0.317690578
RM_10A,0.30581656
RM_10A,0.287011991
RM_10A,0.295687295
RM_10A,0.309402998
RM_10A,0.304314133
RM_10A,0.302908637
RM_10A,0.286963526
RM_10A,0.292633976
RM_10A,0.30707666
RM_10A,0.273538615
RM_10A,0.29132541
RM_10A,0.304798787
RM_10A,0.299079872
RM_10A,0.30518651
RM_10A,0.299419129
RM_10A,0.298401356
RM_10A,0.289726053
RM_10A,0.301309279
RM_10A,0.316285082
RM_10A,0.344831192
RM_10A,0.283377088
RM_10A,0.301454675
RM_10A,0.281196146
RM_10A,0.348126838
RM_10A,0.3095
RM_10A,0.319
RM_10A,0.2901
RM_10A,0.3006
RM_10A,0.3101
RM_10A,0.2801
RM_10A,0.2903
RM_10A,0.2792
RM_10A,0.3282
RM_10A,0.3271
RM_10A,0.2957
RM_10A,0.3168
RM_10A,0.3179
RM_10A,0.3262
RM_10A,0.3256
RM_10A,0.3143
RM_10A,0.3338
RM_10A,0.3089
RM_10A,0.3246
RM_10A,0.2512
RM_10A,0.3286
RM_10A,0.3333
RM_10A,0.4355
RM_10A,0.3271
RM_10A,0.46
RM_10A,0.3037
RM_10A,0.3183
RM_10A,0.3102
RM_10A,0.3147
RM_10A,0.3321
RM_10A,0.3288
RM_10A,0.3462
RM_10A,0.3202
RM_10A,0.3509
RM_10A,0.351
RM_10A,0.3358
RM_10A,0.3174
RM_10A,0.3348
RM_10A,0.2744
RM_10A,0.3361
RM_10A,0.353
RM_10A,0.3409
RM_10A,0.2407
RM_10A,0.3108
RM_10A,0.3594
RM_10A,0.3096
RM_10A,0.3444
RM_10A,0.3495
RM_10A,0.3655
RM_10A,0.3489
RM_10A,0.5977
RM_10A,0.4858
RM_10A,0.4446
RM_10A,0.6071
RM_10A,0.5717
RM_10A,0.6039
RM_10A,0.401
RM_10A,0.3971
RM_10A,0.4793
RM_10A,0.5307
RM_10A,0.5639
RM_10A,0.5552
RM_10A,0.3994
RM_10A,0.467
RM_10A,0.5344
RM_10A,0.3191
RM_10A,0.2367
RM_10A,0.5152
RM_10A,0.3203
RM_10A,0.42
RM_10A,0.2809
RM_10A,0.4128
RM_10A,0.3873
RM_10A,0.2603
RM_10A,0.3293
RM_10A,0.2951
RM_10A,0.3465
RM_10A,0.3073
RM_10A,0.3342
RM_10A,0.4417
RM_10A,0.2742
RM_10A,0.2899
RM_10A,0.3167
RM_10A,0.3464
RM_10A,0.3397
RM_10A,0.2124
RM_10A,0.2963
RM_10A,0.3633
RM_10A,0.3056
RM_10A,0.2391
RM_10A,0.2644
RM_10A,0.2703
RM_10A,0.2522
RM_10A,0.3059
RM_10A,0.2591
RM_10A,0.2661
RM_10A,0.2837
RM_10A,0.2555
RM_10A,0.3764
RM_10A,0.3162
RM_10A,0.3467
RM_10A,0.41
RM_10A,0.491
RM_10A,0.3329
RM_10A,0.2661
RM_10A,0.437
RM_10A,0.3995
RM_10A,0.4303
RM_10A,0.4026
RM_10A,0.3804
RM_10A,0.3595
RM_10A,0.3508
RM_10A,0.2498
RM_10A,0.3566
RM_10A,0.3222
RM_10A,0.387
RM_10A,0.4231
RM_10A,0.3352
RM_10A,0.3462
RM_10A,0.3617
RM_10A,0.2516
RM_10A,0.3352
RM_10A,0.2512
RM_10A,0.2802
RM_10A,0.2964
RM_10A,0.2788
RM_10A,0.2554
RM_10A,0.3382
RM_10A,0.2639
RM_10A,0.212
RM_10A,0.1881
RM_10A,0.2821
RM_10A,0.359
RM_10A,0.2304
RM_10A,0.4589
RM_10A,0.2286
RM_10A,0.3072
RM_10A,0.3243
RM_10A,0.2254
RM_10A,0.295
RM_10A,0.3546
RM_10A,0.3592
RM_10A,0.2129
RM_10A,0.3374
RM_231,0.4464
RM_231,0.4094
RM_231,0.4491
RM_231,0.4025
RM_231,0.4631
RM_231,0.3947
RM_231,0.4277
RM_231,0.4044
RM_231,0.3944
RM_231,0.3687
RM_231,0.4152
RM_231,0.3284
RM_231,0.3775
RM_231,0.3832
RM_231,0.4507
RM_231,0.425198697
RM_231,0.412111064
RM_231,0.417788348
RM_231,0.370995575
RM_231,0.381931817
RM_231,0.481852016
RM_231,0.406314258
RM_231,0.44766879
RM_231,0.426872002
RM_231,0.41049752
RM_231,0.444202659
RM_231,0.435119004
RM_231,0.441035332
RM_231,0.431712634
RM_231,0.461354033
RM_231,0.463624946
RM_231,0.469481513
RM_231,0.436254461
RM_231,0.39633419
RM_231,0.411931781
RM_231,0.4051
RM_231,0.4187
RM_231,0.4662
RM_231,0.4505
RM_231,0.415
RM_231,0.3864
RM_231,0.3991
RM_231,0.4005
RM_231,0.5455
RM_231,0.4062
RM_231,0.4272
RM_231,0.4112
RM_231,0.4405
RM_231,0.4395
RM_231,0.3277
RM_231,0.4447
RM_231,0.3913
RM_231,0.3989
RM_231,0.4301
RM_231,0.3776
RM_231,0.392
RM_231,0.3668
RM_231,0.3704
RM_231,0.4075
RM_231,0.373
RM_231,0.3362
RM_231,0.3875
RM_231,0.3901
RM_231,0.3758
RM_231,0.3541
RM_231,0.4843
RM_231,0.4679
RM_231,0.4912
RM_231,0.4711
RM_231,0.5251
RM_231,0.4654
RM_231,0.5046
RM_231,0.4673
RM_231,0.455
RM_231,0.4506
RM_231,0.4461
RM_231,0.5126
RM_231,0.4206
RM_231,0.4915
RM_231,0.4853
RM_231,0.446
RM_231,0.473
RM_231,0.4628
RM_231,0.4918
RM_231,0.473
RM_231,0.4564
RM_231,0.3979
RM_231,0.4393
RM_231,0.4934
RM_231,0.4676
RM_231,0.5341
RM_231,0.5826
RM_231,0.3999
RM_231,0.5859
RM_231,0.5585
RM_231,0.5815
RM_231,0.5365
RM_231,0.5296
RM_231,0.3452
RM_231,0.3879
RM_231,0.5866
RM_231,0.6081
RM_231,0.4351
RM_231,0.4585
RM_231,0.4911
RM_231,0.541
RM_231,0.4119
RM_231,0.504
RM_231,0.5452
RM_231,0.4895
RM_231,0.4485
RM_231,0.4713
RM_231,0.3582
RM_231,0.4241
RM_231,0.4172
RM_231,0.4069
RM_231,0.393
RM_231,0.3044
RM_231,0.3703
RM_231,0.3701
RM_231,0.3125
RM_231,0.3975
RM_231,0.3353
RM_231,0.2944
RM_231,0.3738
RM_231,0.3987
RM_231,0.4509
RM_231,0.3631
RM_231,0.4103
RM_231,0.3487
RM_231,0.4835
RM_231,0.4205
RM_231,0.4431
RM_231,0.4166
RM_231,0.3859
RM_231,0.398
RM_231,0.4319
RM_231,0.4681
RM_231,0.4825
RM_231,0.3468
RM_231,0.458
RM_231,0.6618
RM_231,0.4927
RM_231,0.6161
RM_231,0.6499
RM_231,0.4399
RM_231,0.4389
RM_231,0.5197
RM_231,0.5654
RM_231,0.4865
RM_231,0.5654
RM_231,0.5038
RM_231,0.5
RM_231,0.4665
RM_231,0.4537
RM_231,0.4381
RM_231,0.4168
RM_231,0.55
RM_231,0.5129
RM_231,0.4227
RM_231,0.5246
RM_231,0.4008
RM_231,0.3613
RM_231,0.5107
RM_231,0.4249
AM_231,0.469
AM_231,0.4091
AM_231,0.3955
AM_231,0.4365
AM_231,0.4263
AM_231,0.4437
AM_231,0.4367
AM_231,0.3956
AM_231,0.3777
AM_231,0.3948
AM_231,0.4345
AM_231,0.4432
AM_231,0.4196
AM_231,0.4394
AM_231,0.4193
AM_231,0.43
AM_231,0.4147
AM_231,0.4146
AM_231,0.4133
AM_231,0.4415
AM_231,0.4014
AM_231,0.4288
AM_231,0.4137
AM_231,0.4068
AM_231,0.4073
AM_231,0.392389971
AM_231,0.416951695
AM_231,0.403146931
AM_231,0.497270325
AM_231,0.380318273
AM_231,0.398186777
AM_231,0.381633012
AM_231,0.384083208
AM_231,0.367947769
AM_231,0.392210689
AM_231,0.409601106
AM_231,0.495118933
AM_231,0.35784818
AM_231,0.383784404
AM_231,0.390059297
AM_231,0.388385992
AM_231,0.374999554
AM_231,0.379959707
AM_231,0.348346199
AM_231,0.372310314
AM_231,0.358027463
AM_231,0.506772305
AM_231,0.418505478
AM_231,0.483346039
AM_231,0.428844111
AM_231,0.3095
AM_231,0.319
AM_231,0.2901
AM_231,0.3006
AM_231,0.3101
AM_231,0.2801
AM_231,0.2903
AM_231,0.2792
AM_231,0.3282
AM_231,0.3271
AM_231,0.2957
AM_231,0.3168
AM_231,0.3179
AM_231,0.3262
AM_231,0.3256
AM_231,0.3143
AM_231,0.3338
AM_231,0.3089
AM_231,0.3246
AM_231,0.2512
AM_231,0.3286
AM_231,0.3333
AM_231,0.4355
AM_231,0.3271
AM_231,0.46
AM_231,0.3037
AM_231,0.3183
AM_231,0.3102
AM_231,0.3147
AM_231,0.3321
AM_231,0.3288
AM_231,0.3462
AM_231,0.3202
AM_231,0.3509
AM_231,0.351
AM_231,0.3358
AM_231,0.3174
AM_231,0.3348
AM_231,0.2744
AM_231,0.3361
AM_231,0.353
AM_231,0.3409
AM_231,0.2407
AM_231,0.3108
AM_231,0.3594
AM_231,0.3096
AM_231,0.3444
AM_231,0.3495
AM_231,0.3655
AM_231,0.3489
AM_231,0.508
AM_231,0.4211
AM_231,0.4326
AM_231,0.5342
AM_231,0.5807
AM_231,0.4761
AM_231,0.4954
AM_231,0.4478
AM_231,0.4238
AM_231,0.4048
AM_231,0.4889
AM_231,0.3167
AM_231,0.5128
AM_231,0.3782
AM_231,0.4985
AM_231,0.5012
AM_231,0.5349
AM_231,0.4909
AM_231,0.4946
AM_231,0.3803
AM_231,0.4222
AM_231,0.4021
AM_231,0.4206
AM_231,0.3882
AM_231,0.4809
AM_231,0.4678
AM_231,0.3746
AM_231,0.4709
AM_231,0.357
AM_231,0.4061
AM_231,0.4226
AM_231,0.3402
AM_231,0.4926
AM_231,0.2909
AM_231,0.3707
AM_231,0.3102
AM_231,0.2717
AM_231,0.3591
AM_231,0.3496
AM_231,0.2874
AM_231,0.3339
AM_231,0.3359
AM_231,0.3046
AM_231,0.3854
AM_231,0.4223
AM_231,0.2403
AM_231,0.3764
AM_231,0.3447
AM_231,0.3191
AM_231,0.2687
AM_231,0.4699
AM_231,0.4319
AM_231,0.4484
AM_231,0.2937
AM_231,0.4567
AM_231,0.3325
AM_231,0.2903
AM_231,0.3893
AM_231,0.4534
AM_231,0.3701
AM_231,0.3125
AM_231,0.3409
AM_231,0.3924
AM_231,0.2912
AM_231,0.4352
AM_231,0.4297
AM_231,0.3082
AM_231,0.3738
AM_231,0.3112
AM_231,0.3962
AM_231,0.3315
AM_231,0.4585
AM_231,0.3793
AM_231,0.3357
AM_231,0.4007