10A_A_LDHA,1.613482264,MCF-10A,LDHA,Aligned 
10A_A_LDHA,5.393508837,MCF-10A,LDHA,Aligned 
10A_A_LDHA,0.813933427,MCF-10A,LDHA,Aligned 
10A_A_LDHA,1.197616472,MCF-10A,LDHA,Aligned 
10A_A_LDHA,5.031528699,MCF-10A,LDHA,Aligned 
10A_A_LDHA,0.694910045,MCF-10A,LDHA,Aligned 
10A_R_LDHA,1.989394508,MCF-10A,LDHA,Random
10A_R_LDHA,0.862359029,MCF-10A,LDHA,Random
10A_R_LDHA,0.639080262,MCF-10A,LDHA,Random
10A_R_LDHA,1.69061721,MCF-10A,LDHA,Random
10A_R_LDHA,0.838285026,MCF-10A,LDHA,Random
10A_R_LDHA,0.644320645,MCF-10A,LDHA,Random
10A_A_Vim,2.279285922,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.448918983,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.177001738,MCF-10A,Vimentin,Aligned 
10A_A_Vim,2.298741527,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.506176513,MCF-10A,Vimentin,Aligned 
10A_A_Vim,1.36908882,MCF-10A,Vimentin,Aligned 
10A_R_Vim,0.536448096,MCF-10A,Vimentin,Random
10A_R_Vim,1.639056199,MCF-10A,Vimentin,Random
10A_R_Vim,1.071251699,MCF-10A,Vimentin,Random
10A_R_Vim,0.575216331,MCF-10A,Vimentin,Random
10A_R_Vim,1.525617784,MCF-10A,Vimentin,Random
10A_R_Vim,1.209789799,MCF-10A,Vimentin,Random
231_R_LDHA,0.815648552,MDA-MB-231,LDHA,Random
231_R_LDHA,0.874961347,MDA-MB-231,LDHA,Random
231_R_LDHA,1.478135534,MDA-MB-231,LDHA,Random
231_R_LDHA,0.79191893,MDA-MB-231,LDHA,Random
231_R_LDHA,0.839375931,MDA-MB-231,LDHA,Random
231_R_LDHA,1.426121641,MDA-MB-231,LDHA,Random
231_A_LDHA,1.061682238,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.523744354,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.197449343,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.063453681,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.415605923,MDA-MB-231,LDHA,Aligned 
231_A_LDHA,1.036637175,MDA-MB-231,LDHA,Aligned 
231_R_Vim,0.919735172,MDA-MB-231,Vimentin,Random
231_R_Vim,0.5241973,MDA-MB-231,Vimentin,Random
231_R_Vim,1.8365319,MDA-MB-231,Vimentin,Random
231_R_Vim,1.065374667,MDA-MB-231,Vimentin,Random
231_R_Vim,0.533822034,MDA-MB-231,Vimentin,Random
231_R_Vim,1.985843771,MDA-MB-231,Vimentin,Random
231_A_Vim,1.06926323,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,0.810262365,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,1.095477372,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,1.180877195,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,1.322901742,MDA-MB-231,Vimentin,Aligned 
231_A_Vim,1.202309579,MDA-MB-231,Vimentin,Aligned 